"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","type","date","event_summary","source_title","creative_use","verification_needed"
"TIME_MEXEMP_0435","1910年、Porfirio Díazは80歳で大統領再出馬を表明した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1910","","year","Gregorian","historical_fact","probable","Porfirio Díazは80歳で大統領再出馬を表明し、ShawcrossはこれがMexican Revolutionを誘発したと整理する。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Porfirio Díaz","Mexican Revolution; Porfiriato","Mexico","","political succession; revolution","FACT_MEXEMP_2587","Creative use: 長期独裁から革命への転換点。 Verification needed: yes.","timeline","1910","Porfirio Díazは80歳で大統領再出馬を表明し、ShawcrossはこれがMexican Revolutionを誘発したと整理する。","The Last Emperor of Mexico: A Disaster in the New World","長期独裁から革命への転換点。","yes"
"TIME_MEXEMP_0436","1911年推定、Díazは亡命を余儀なくされた","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1911","","inferred_year","Gregorian","historical_fact","probable","Díazは1910年再出馬表明の一年後に亡命を余儀なくされたとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Porfirio Díaz","Mexican Revolution; Fall of Porfiriato","Mexico","","exile; revolution","FACT_MEXEMP_2588","Creative use: Porfiriatoの終焉。 Verification needed: yes.","timeline","1911","Díazは1910年再出馬表明の一年後に亡命を余儀なくされたとされる。","The Last Emperor of Mexico: A Disaster in the New World","Porfiriatoの終焉。","yes"
"TIME_MEXEMP_0437","1915年、Porfirio DíazはParisで死去した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1915","","year","Gregorian","historical_fact","probable","Porfirio DíazはParisで死去したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Porfirio Díaz","Death of Porfirio Díaz","Paris","","exile; aftermath","FACT_MEXEMP_2588","Creative use: Mexico近代化独裁者の亡命死。 Verification needed: yes.","timeline","1915","Porfirio DíazはParisで死去したとされる。","The Last Emperor of Mexico: A Disaster in the New World","Mexico近代化独裁者の亡命死。","yes"
"TIME_MEXEMP_0438","1914年、VeracruzはUnited Statesにより短期間占領された","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1914","","year","Gregorian","historical_fact","probable","VeracruzはUnited Statesにより短期間占領されたとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","","U.S. occupation of Veracruz","Veracruz; Mexico; United States","United States","U.S. intervention; Mexico-U.S. relations","FACT_MEXEMP_2589","Creative use: 米墨関係が完全に非介入だったわけではないことを示す。 Verification needed: yes.","timeline","1914","VeracruzはUnited Statesにより短期間占領されたとされる。","The Last Emperor of Mexico: A Disaster in the New World","米墨関係が完全に非介入だったわけではないことを示す。","yes"
"TIME_MEXEMP_0439","1916年推定、U.S. ArmyはPancho Villaを追ってChihuahuaを移動した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1916","","inferred_year","Gregorian","historical_fact","probable","Veracruz占領の二年後、U.S. ArmyはPancho Villaを追ってChihuahuaの砂漠地帯を数か月移動したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Pancho Villa","Pancho Villa Expedition","Chihuahua; Mexico; United States","U.S. Army","U.S. intervention; border conflict","FACT_MEXEMP_2589","Creative use: 20世紀初頭の米墨緊張を示す後日談。 Verification needed: yes.","timeline","1916","Veracruz占領の二年後、U.S. ArmyはPancho Villaを追ってChihuahuaの砂漠地帯を数か月移動したとされる。","The Last Emperor of Mexico: A Disaster in the New World","20世紀初頭の米墨緊張を示す後日談。","yes"
"TIME_MEXEMP_0440","1898年、United Statesは帝国的権力としての地位を確認したとされる","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1898","","year","Gregorian","historical_fact","probable","Shawcrossは、United StatesがCuba, Puerto Rico, Philippinesへの侵攻により帝国的権力としての地位を確認したと述べる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","","Spanish-American War","United States; Cuba; Puerto Rico; Philippines","United States","U.S. imperialism; overseas expansion","FACT_MEXEMP_2590","Creative use: French imperial failure後の米国帝国主義の台頭。 Verification needed: yes.","timeline","1898","Shawcrossは、United StatesがCuba, Puerto Rico, Philippinesへの侵攻により帝国的権力としての地位を確認したと述べる。","The Last Emperor of Mexico: A Disaster in the New World","French imperial failure後の米国帝国主義の台頭。","yes"
"TIME_MEXEMP_0441","1898-1933年、United StatesはLatin Americaで多数の軍事介入を行ったとされる","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1898-1933","","approximate_period","Gregorian","historical_fact","probable","Shawcrossは、1898年から1933年にかけてLatin AmericaでUnited Statesによる多数の軍事介入があったと述べる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","","U.S. interventions in Latin America","United States; Latin America","United States","U.S. imperialism; military intervention","FACT_MEXEMP_2590","Creative use: Mexico interventionから20世紀米国介入史への橋渡し。 Verification needed: yes.","timeline","1898-1933","Shawcrossは、1898年から1933年にかけてLatin AmericaでUnited Statesによる多数の軍事介入があったと述べる。","The Last Emperor of Mexico: A Disaster in the New World","Mexico interventionから20世紀米国介入史への橋渡し。","yes"
"TIME_MEXEMP_0442","1840年6月7日、CarlotaはLaekenで生まれたと棺銘に記されていたとされる","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1840-06-07","","day","Gregorian","historical_fact","probable","CarlotaはLaekenで生まれたと棺銘に記されていたとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Carlota","Birth of Carlota","Laeken; Belgium","Belgian royalty","dynastic biography","FACT_MEXEMP_2594","Creative use: Carlotaの生涯年表の起点。 Verification needed: yes.","timeline","1840-06-07","CarlotaはLaekenで生まれたと棺銘に記されていたとされる。","The Last Emperor of Mexico: A Disaster in the New World","Carlotaの生涯年表の起点。","yes"
"TIME_MEXEMP_0443","1866年10月、CarlotaはRomeを去った後Miramarへ戻り隔離されたとされる","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1866-10","","month","Gregorian","historical_fact","probable","CarlotaはRomeを去った後Miramarへ戻り、医師の判断で隔離されたとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Carlota","Carlota after Rome","Rome; Miramar","","isolation; mental health narrative","FACT_MEXEMP_2595","Creative use: Romeでの崩壊後のCarlotaの処遇。 Verification needed: yes.","timeline","1866-10","CarlotaはRomeを去った後Miramarへ戻り、医師の判断で隔離されたとされる。","The Last Emperor of Mexico: A Disaster in the New World","Romeでの崩壊後のCarlotaの処遇。","yes"
"TIME_MEXEMP_0444","1867年7月、CarlotaはLaekenへ移されMaximilian処刑の知らせを隠されたとされる","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-07","","month","Gregorian","historical_fact","probable","CarlotaはLaekenへ移され、家族はMaximilian処刑の知らせを隠したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 319/400","No.4513/7062","スクリーンショット 2026-05-31 13.12.01.png","Carlota; Maximilian","Execution of Maximilian; Carlota confinement","Laeken","Belgian royalty","family secrecy; trauma","FACT_MEXEMP_2596","Creative use: Maximilianの死とCarlotaの認識の時間差。 Verification needed: yes.","timeline","1867-07","CarlotaはLaekenへ移され、家族はMaximilian処刑の知らせを隠したとされる。","The Last Emperor of Mexico: A Disaster in the New World","Maximilianの死とCarlotaの認識の時間差。","yes"
