"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","date","event_summary","source_title","author","creative_use","verification_needed","related_capture"
"TIME_HAMNETT_JUAREZ_0065","1828年大統領選挙で穏健派はVicente Guerreroを敗北させた","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;1828-election","1828","","year","Gregorian","historical_fact","probable","1828年大統領選挙で、穏健派はVicente Guerreroを敗北させた。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Vicente Guerrero","Presidential Elections of 1828","Mexico","Moderate Liberals","Constitutional Politics;Factionalism","FACT_HAMNETT_JUAREZ_0154","Creative use: 選挙敗北から蜂起へ移る転換点として使える。 Verification needed: yes","1828","1828年大統領選挙で、穏健派はVicente Guerreroを敗北させた。","Juárez","Brian R. Hamnett","選挙敗北から蜂起へ移る転換点として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0066","1829年、Acordada反乱によりGuerreroが大統領となりZavalaが財務大臣となった","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;acordada","1829","","year","Gregorian","historical_fact","probable","Rebellion of the Acordadaにより、Vicente Guerreroが大統領となり、Lorenzo de Zavalaが財務大臣となった。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Vicente Guerrero;Lorenzo de Zavala","Rebellion of the Acordada;Guerrero Presidency","Mexico","Radical Liberals","Mexican Liberalism;Constitutionalism","FACT_HAMNETT_JUAREZ_0156","Creative use: 蜂起後の政権形成として配置できる。 Verification needed: yes","1829","Rebellion of the Acordadaにより、Vicente Guerreroが大統領となり、Lorenzo de Zavalaが財務大臣となった。","Juárez","Brian R. Hamnett","蜂起後の政権形成として配置できる。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0067","1830–1832年、BustamanteとAlamánは中央集権的neo-Bourbon体制を形成した","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;bustamante-alaman","1830","1832","range","Gregorian","author_interpretation","probable","BustamanteとLucas Alamánは、中央集権的・neo-Bourbon的体制を形成した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Anastasio Bustamante;Lucas Alaman","Bustamante Alaman Regime 1830 1832","Mexico","Bustamante Alaman Regime","Centralism;Neo Bourbon State;Conservative Politics","FACT_HAMNETT_JUAREZ_0159","Creative use: 中央集権的国家再編構想の前史として使える。 Verification needed: yes","1830-1832","BustamanteとLucas Alamánは、中央集権的・neo-Bourbon的体制を形成した。","Juárez","Brian R. Hamnett","中央集権的国家再編構想の前史として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0068","1832年、Santa Anna介入によりBustamante-Alamán体制が除去された","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;santa-anna-1832","1832","","year","Gregorian","historical_fact","probable","General Antonio López de Santa Annaの介入により、Bustamante-Alamán体制が除去された。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Antonio Lopez de Santa Anna;Anastasio Bustamante;Lucas Alaman","Santa Anna Intervention of 1832;Bustamante Alaman Regime 1830 1832","Mexico","Moderate Forces","Military Politics;Factionalism","FACT_HAMNETT_JUAREZ_0160","Creative use: 軍事介入と派閥離反の連動として使える。 Verification needed: yes","1832","General Antonio López de Santa Annaの介入により、Bustamante-Alamán体制が除去された。","Juárez","Brian R. Hamnett","軍事介入と派閥離反の連動として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0069","1833–1834年、Gómez Faríasの下で最初の自由主義改革実験が行われた","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;gomez-farias","1833","1834","range","Gregorian","historical_fact","probable","Vice-President Valentín Gómez Faríasの下で最初の自由主義改革実験が行われた。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Valentin Gomez Farias","Gomez Farias Liberal Experiment","Mexico","Liberal Regime;Catholic Church","Liberal Reform;Church-state relations;Cadiz Constitutionalism","FACT_HAMNETT_JUAREZ_0161;FACT_HAMNETT_JUAREZ_0162","Creative use: Juárez期Reforma以前の改革系譜として使える。 Verification needed: yes","1833-1834","Vice-President Valentín Gómez Faríasの下で最初の自由主義改革実験が行われた。","Juárez","Brian R. Hamnett","Juárez期Reforma以前の改革系譜として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0070","1834年5月、Santa AnnaはGómez Farías自由主義体制を終わらせた","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;santa-anna-1834","1834-05","","month","Gregorian","historical_fact","probable","Santa AnnaはGómez Faríasの自由主義体制を終わらせた。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Antonio Lopez de Santa Anna;Valentin Gomez Farias","Santa Anna Intervention of May 1834;Gomez Farias Liberal Experiment","Mexico","Liberal Regime","Military Politics;Liberal Anticlericalism","FACT_HAMNETT_JUAREZ_0163","Creative use: 改革実験が停止される政治的転換点として使える。 Verification needed: yes","1834-05","Santa AnnaはGómez Faríasの自由主義体制を終わらせた。","Juárez","Brian R. Hamnett","改革実験が停止される政治的転換点として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0071","1834–1836年、初期自由主義と連邦制が崩壊し中央集権体制への移行が進んだ","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;centralism","1834","1836","range","Gregorian","author_interpretation","probable","初期自由主義と連邦制が崩壊し、中央集権体制への移行が進んだ。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Antonio Lopez de Santa Anna","Collapse of Early Liberalism;Collapse of Federal System","Mexico","Centralist Regime","federalism;Centralism;Constitutionalism","FACT_HAMNETT_JUAREZ_0165","Creative use: centralism / federalismの振幅として使える。 Verification needed: yes","1834-1836","初期自由主義と連邦制が崩壊し、中央集権体制への移行が進んだ。","Juárez","Brian R. Hamnett","centralism / federalismの振幅として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0072","1836年、Siete Leyesが第一中央集権実験の憲法的基礎を成文化しようとした","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;siete-leyes","1836","","year","Gregorian","historical_fact","probable","Siete Leyesが第一中央集権実験の憲法的基礎を成文化しようとした。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","","Siete Leyes 1836","Mexico","Centralist Regime","Centralism;Constitutionalism","FACT_HAMNETT_JUAREZ_0166","Creative use: 中央集権体制を制度文書として描ける。 Verification needed: yes","1836","Siete Leyesが第一中央集権実験の憲法的基礎を成文化しようとした。","Juárez","Brian R. Hamnett","中央集権体制を制度文書として描ける。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0073","1836年、HamnettはTexasとYucatánの分離を新秩序崩壊の文脈で位置づける","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;texas-yucatan","1836","","year","Gregorian","author_interpretation","uncertain","Hamnettは1836年をTexasとYucatánの分離の年として、新秩序崩壊の文脈で位置づけている。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","","Loss of Texas 1836;Texas Yucatan Separatist Cases 1835 1836","Texas;Yucatan;Mexico","","Separatism;federalism;Centralism;National Cohesion","","Creative use: 中央集権化に伴う国家統合危機として使える。 Verification needed: yes","1836","Hamnettは1836年をTexasとYucatánの分離の年として、新秩序崩壊の文脈で位置づけている。","Juárez","Brian R. Hamnett","中央集権化に伴う国家統合危機として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0074","1836–1846年、Mexicoでは第一中央集権実験が続いた","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;first-centralist-experiment","1836","1846","range","Gregorian","historical_fact","probable","Mexicoでは第一中央集権実験が続いた。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","","First Centralist Experiment","Mexico","Centralist Regime","Centralism;Constitutionalism","FACT_HAMNETT_JUAREZ_0165;FACT_HAMNETT_JUAREZ_0166","Creative use: Second Empire以前の中央集権的制度実験として配置できる。 Verification needed: yes","1836-1846","Mexicoでは第一中央集権実験が続いた。","Juárez","Brian R. Hamnett","Second Empire以前の中央集権的制度実験として配置できる。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0075","1842–1844年、Santa AnnaのdictatorshipはHamnettによればほとんど抑圧的ではなかった","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;santa-anna-1842-1844","1842","1844","range","Gregorian","author_interpretation","uncertain","Santa Annaのdictatorshipが存在したが、Hamnettはこれをほとんど抑圧的ではなかったと評価する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Antonio Lopez de Santa Anna","Santa Anna Dictatorship of 1842 1844","Mexico","","Dictatorship;Centralism","FACT_HAMNETT_JUAREZ_0171","Creative use: 19世紀型dictatorshipを単純化しない留保として使える。 Verification needed: yes","1842-1844","Santa Annaのdictatorshipが存在したが、Hamnettはこれをほとんど抑圧的ではなかったと評価する。","Juárez","Brian R. Hamnett","19世紀型dictatorshipを単純化しない留保として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0076","1843年、Bases Orgánicasが発効し新しい中央集権憲法として機能した","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;bases-organicas","1843","","year","Gregorian","historical_fact","probable","Bases Orgánicasが発効し、新しい中央集権憲法として機能した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Antonio Lopez de Santa Anna","Bases Organicas 1843","Mexico","Centralist Regime","Centralism;Constitutionalism","FACT_HAMNETT_JUAREZ_0171","Creative use: 中央集権憲法の制度的継続として使える。 Verification needed: yes","1843","Bases Orgánicasが発効し、新しい中央集権憲法として機能した。","Juárez","Brian R. Hamnett","中央集権憲法の制度的継続として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0077","1846年1–8月、Paredes y Arrillagaの独裁未遂は米国との戦争勃発で崩壊した","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;paredes","1846-01","1846-08","range","Gregorian","historical_fact","probable","General Mariano Paredes y Arrillagaの独裁未遂が、米国との戦争勃発により崩壊した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Mariano Paredes y Arrillaga","Paredes y Arrillaga Attempted Dictatorship 1846;Mexican American War","Mexico;United States;Guadalajara","Guadalajara Federalists","Dictatorship;Monarchism Before Second Empire;Military Politics","FACT_HAMNETT_JUAREZ_0172","Creative use: Maximilian以前の君主制志向前史として慎重に使える。 Verification needed: yes","1846-01/1846-08","General Mariano Paredes y Arrillagaの独裁未遂が、米国との戦争勃発により崩壊した。","Juárez","Brian R. Hamnett","Maximilian以前の君主制志向前史として慎重に使える。","yes","CAP_HAMNETT_JUAREZ_0010"
"TIME_HAMNETT_JUAREZ_0078","1853–1855年、Santa Anna最終政権はJuárezやOcampoを亡命させた","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter1;santa-anna-final-regime","1853","1855","range","Gregorian","historical_fact","probable","Santa Anna最終政権は憲法を欠き、JuárezやMelchor Ocampoら自由主義指導者を亡命に追いやった。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Politics of Fragmentation","printed page 14-15","14-15","/page/14/mode/2up; Page 14 (29/323)","","スクリーンショット 2026-06-13 17.22.58.jpeg","Antonio Lopez de Santa Anna;Benito Juarez;Melchor Ocampo","Santa Anna Final Regime 1853 1855;Exile of Liberal Figures","Mexico;Michoacan","Liberal Party","Dictatorship;Constitutionalism;Liberal Opposition","FACT_HAMNETT_JUAREZ_0173","Creative use: Juárezが独裁的中央権力と対立する前史として使える。 Verification needed: yes","1853-1855","Santa Anna最終政権は憲法を欠き、JuárezやMelchor Ocampoら自由主義指導者を亡命に追いやった。","Juárez","Brian R. Hamnett","Juárezが独裁的中央権力と対立する前史として使える。","yes","CAP_HAMNETT_JUAREZ_0010"
