id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions,type,source_title,statement,source_note,japanese_note,cautions,verification_needed
FACT_MEXEMP_2340,Miramón負傷の報告,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,Cerro de las Campanas上にいた者の一人が、Miramónが街路で戦おうとして顔を撃たれ、下方の家で負傷しているとMaximilianに知らせた。,Cerro de las Campanas上にいた者の一人が、Miramónが街路で戦おうとして顔を撃たれ、下方の家で負傷しているとMaximilianに知らせた。,Source note: One of them Japanese note: 前ページ末尾からの接続確認。,Cautions: 負傷場所と程度は一次資料で要確認。 Verification needed: yes.,Miramón不在が皇帝側の崩壊認識を強める場面として使える。,Maximilian; Miguel Miramón,Siege of Querétaro; Fall of Querétaro,Cerro de las Campanas; Querétaro,Mexican Empire; imperial army; Republic of Mexico,siege; military collapse; witness reliability,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,Cerro de las Campanas上にいた者の一人が、Miramónが街路で戦おうとして顔を撃たれ、下方の家で負傷しているとMaximilianに知らせた。,One of them,前ページ末尾からの接続確認。,負傷場所と程度は一次資料で要確認。,yes
FACT_MEXEMP_2341,自由派軍の丘への接近,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,Maximilianは、自由派兵がCerro de las Campanasへ向かって押し寄せ、背後に騎兵が続き、複数の砲兵陣地が砲撃を始めるのを見たと描かれる。,Maximilianは、自由派兵がCerro de las Campanasへ向かって押し寄せ、背後に騎兵が続き、複数の砲兵陣地が砲撃を始めるのを見たと描かれる。,Source note: liberal troops Japanese note: 皇帝側視点の戦場描写として扱う。,Cautions: 兵力規模と砲兵配置は共和派側記録で要確認。 Verification needed: yes.,丘上から包囲網が迫る視覚的場面に使える。,Maximilian,Siege of Querétaro; Fall of Querétaro,Cerro de las Campanas; Querétaro,Republic of Mexico; liberal forces; Mexican Empire,siege; republican victory; military collapse,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,Maximilianは、自由派兵がCerro de las Campanasへ向かって押し寄せ、背後に騎兵が続き、複数の砲兵陣地が砲撃を始めるのを見たと描かれる。,liberal troops,皇帝側視点の戦場描写として扱う。,兵力規模と砲兵配置は共和派側記録で要確認。,yes
FACT_MEXEMP_2342,Salm-Salmへの死を覚悟した発言,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,砲撃下でMaximilianはSalm-Salmに、幸運な弾丸を望む趣旨の発言をしたとされる。,砲撃下でMaximilianはSalm-Salmに、幸運な弾丸を望む趣旨の発言をしたとされる。,Source note: Now for a lucky bullet Japanese note: Salm-Salm周辺証言由来の可能性がある。,Cautions: 発言は劇的回想として扱い逐語性を断定しない。 Verification needed: yes.,死を覚悟した皇帝の台詞として使えるが証言性を残す。,Maximilian; Prince Felix Salm-Salm,Siege of Querétaro; Fall of Querétaro,Cerro de las Campanas,Mexican Empire; imperial army,martyrdom framing; witness reliability; military collapse,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,砲撃下でMaximilianはSalm-Salmに、幸運な弾丸を望む趣旨の発言をしたとされる。,Now for a lucky bullet,Salm-Salm周辺証言由来の可能性がある。,発言は劇的回想として扱い逐語性を断定しない。,yes
FACT_MEXEMP_2343,Mejíaへの突破提案,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,MaximilianはMejíaに、馬に乗って突破を試み、脱出できなければ試みの中で死ぬことを提案したとされる。,MaximilianはMejíaに、馬に乗って突破を試み、脱出できなければ試みの中で死ぬことを提案したとされる。,Source note: break through Japanese note: 最後の脱出案として前ページの計画と区別する。,Cautions: 提案の具体的文言と実現可能性は未確認。 Verification needed: yes.,名誉ある死か降伏かの選択として使える。,Maximilian; Tomás Mejía,Siege of Querétaro; Fall of Querétaro; Surrender of Maximilian,Cerro de las Campanas; Querétaro,Mexican Empire; imperial army,surrender; military collapse; martyrdom framing,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,MaximilianはMejíaに、馬に乗って突破を試み、脱出できなければ試みの中で死ぬことを提案したとされる。,break through,最後の脱出案として前ページの計画と区別する。,提案の具体的文言と実現可能性は未確認。,yes
FACT_MEXEMP_2344,Mejíaの突破拒否,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,Mejíaは、脱出は絶望的であり、Maximilianを確実な死へ導く責任は負えないと答えたとされる。,Mejíaは、脱出は絶望的であり、Maximilianを確実な死へ導く責任は負えないと答えたとされる。,Source note: Mejía refused Japanese note: Mejíaの判断は軍事的合理性と忠誠の両面を持つ。,Cautions: Mejía本人の記録と照合が必要。 Verification needed: yes.,臣下が皇帝の死を止める緊張として使える。,Maximilian; Tomás Mejía,Siege of Querétaro; Fall of Querétaro; Surrender of Maximilian,Cerro de las Campanas,Mexican Empire; imperial army,surrender; military collapse; witness reliability,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,Mejíaは、脱出は絶望的であり、Maximilianを確実な死へ導く責任は負えないと答えたとされる。,Mejía refused,Mejíaの判断は軍事的合理性と忠誠の両面を持つ。,Mejía本人の記録と照合が必要。,yes
FACT_MEXEMP_2345,Querétaro陥落の認識,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,historical_fact,probable,MaximilianはQuerétaroの町が陥落し、自軍が降伏していると認識した。,MaximilianはQuerétaroの町が陥落し、自軍が降伏していると認識した。,Source note: town had fallen Japanese note: 共和派側から見れば軍事的勝利の局面である。,Cautions: 町全体の陥落時刻と各部隊の降伏経過は要確認。 Verification needed: yes.,高所から帝政の崩壊を理解する場面に使える。,Maximilian,Fall of Querétaro; Surrender of Maximilian; Siege of Querétaro,Querétaro; Cerro de las Campanas,Mexican Empire; imperial army; Republic of Mexico,military collapse; republican victory; surrender,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,MaximilianはQuerétaroの町が陥落し、自軍が降伏していると認識した。,town had fallen,共和派側から見れば軍事的勝利の局面である。,町全体の陥落時刻と各部隊の降伏経過は要確認。,yes
FACT_MEXEMP_2346,書類焼却と白旗命令,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,Maximilianは一部の書類を焼いた後、将校に白旗を掲げるよう命じた。,Maximilianは一部の書類を焼いた後、将校に白旗を掲げるよう命じた。,Source note: white flag Japanese note: 書類の内容はこのページからは特定できない。,Cautions: 焼却書類の内容と白旗命令の証言源は要確認。 Verification needed: yes.,敗北を受け入れる動作として象徴的に使える。,Maximilian; Prince Felix Salm-Salm, Fall of Querétaro; Surrender of Maximilian,Cerro de las Campanas,Mexican Empire; imperial army; Republic of Mexico,surrender; military collapse; imperial legitimacy,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,Maximilianは一部の書類を焼いた後、将校に白旗を掲げるよう命じた。,white flag,書類の内容はこのページからは特定できない。,焼却書類の内容と白旗命令の証言源は要確認。,yes
FACT_MEXEMP_2347,軍服姿で共和派を待つMaximilian,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,Maximilianは外套を開いて軍服を見せ、剣にもたれて共和派を待ったと描かれる。,Maximilianは外套を開いて軍服を見せ、剣にもたれて共和派を待ったと描かれる。,Source note: uniform Japanese note: 皇帝としての自己演出を含む可能性がある。,Cautions: 身振りの細部は証言由来として扱う。 Verification needed: yes.,降伏直前の視覚的ポーズとして使える。,Maximilian,Surrender of Maximilian; Fall of Querétaro,Cerro de las Campanas,Mexican Empire; imperial army; Republic of Mexico,imperial legitimacy; surrender; martyrdom framing,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,Maximilianは外套を開いて軍服を見せ、剣にもたれて共和派を待ったと描かれる。,uniform,皇帝としての自己演出を含む可能性がある。,身振りの細部は証言由来として扱う。,yes
FACT_MEXEMP_2348,Escobedo司令部への連行,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,historical_fact,probable,Maximilianは代表団によりEscobedoのもとへ連れて行かれ、丘を下り、市外の西側平原へ移動した。,Maximilianは代表団によりEscobedoのもとへ連れて行かれ、丘を下り、市外の西側平原へ移動した。,Source note: Escobedo Japanese note: 降伏場面への移動経路として整理する。,Cautions: 連行者と正確な経路は共和派側記録で要確認。 Verification needed: yes.,丘から司令部へ移ることで権力関係の反転を描ける。,Maximilian; Mariano Escobedo,Surrender of Maximilian; Capture of Maximilian,Cerro de las Campanas; Querétaro,Republic of Mexico; Mexican Empire; Juárez government,surrender; republican victory; military collapse,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,Maximilianは代表団によりEscobedoのもとへ連れて行かれ、丘を下り、市外の西側平原へ移動した。,Escobedo,降伏場面への移動経路として整理する。,連行者と正確な経路は共和派側記録で要確認。,yes
FACT_MEXEMP_2349,Escobedoへの降伏,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 290/400ページ,No.4109/7062,スクリーンショット 2026-05-31 13.11.29.png,primary_testimony,probable,MaximilianはEscobedoに自分が捕虜であると述べ、剣を差し出し、側近や将校の助命を求めた。,MaximilianはEscobedoに自分が捕虜であると述べ、剣を差し出し、側近や将校の助命を求めた。,Source note: I am your prisoner Japanese note: 降伏時の言葉は逐語性を慎重に扱う。,Cautions: 降伏場面の一次証言と共和派側記録を照合する。 Verification needed: yes.,捕虜宣言と助命嘆願の対比を描ける。,Maximilian; Mariano Escobedo,Surrender of Maximilian; Capture of Maximilian,Querétaro,Mexican Empire; Republic of Mexico; Juárez government,surrender; imperial legitimacy; martyrdom framing,,,fact_card,The Last Emperor of Mexico: A Disaster in the New World,MaximilianはEscobedoに自分が捕虜であると述べ、剣を差し出し、側近や将校の助命を求めた。,I am your prisoner,降伏時の言葉は逐語性を慎重に扱う。,降伏場面の一次証言と共和派側記録を照合する。,yes
