id,title,status,created,updated,tags,source_id,chapter,page,kindle_location,screenshot_file,evidence_category,confidence,claim,summary,evidence_note,limitations,creative_use,people,events,places,organizations,themes,related_fact_cards,related_questions
FACT_MEXEMP_2316,4月27日のMiramón突破成功を再現する東方脱出計画,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,historical_fact,probable,帝政側は、4月27日のMiramónの突破成功を再現しつつ、今度は東方へ突破し、敵線を破った後ただちに撤退する計画を立てた。,帝政側は、4月27日のMiramónの突破成功を再現しつつ、今度は東方へ突破し、敵線を破った後ただちに撤退する計画を立てた。,Source note: April 27; to the east Japanese note: 92枚目末尾からの接続部。,Cautions: 4月27日の攻撃そのものとは重複させない。 Verification needed: yes.,脱出計画が過去の小勝利に依存していたことを示せる。,Maximilian; Miguel Miramón,Siege of Querétaro; planned imperial breakout,Querétaro,Mexican Empire; imperial army,breakout plan; military collapse,,
FACT_MEXEMP_2317,義勇軍募集は主力集中を隠す偽装策だった,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,historical_fact,probable,Querétaro市民に義勇軍参加を呼びかける措置は、帝政側主力の集中と脱出を隠し、残存戦線を埋めるための策として描かれている。,Querétaro市民に義勇軍参加を呼びかける措置は、帝政側主力の集中と脱出を隠し、残存戦線を埋めるための策として描かれている。,Source note: volunteer legion Japanese note: 市民動員は自発的支持の証拠ではなく軍事的必要に基づく。,Cautions: 市民の自由意思による帝政支持と短絡しない。 Verification needed: yes.,包囲下で市民を巻き込む切迫感を描ける。,Maximilian; Tomás Mejía,planned imperial breakout,Querétaro,Mexican Empire; imperial army,deception; civilian mobilization; siege,,
FACT_MEXEMP_2318,帝政主力はSierra Gordaへ脱出する予定だった,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,historical_fact,probable,帝政側主力は、Querétaroから東方へ突破し、Mejíaが軍事経験を持つSierra Gordaへ逃れる構想だった。,帝政側主力は、Querétaroから東方へ突破し、Mejíaが軍事経験を持つSierra Gordaへ逃れる構想だった。,Source note: Sierra Gorda Japanese note: Sierra Gordaは再編・持久のための後退先として扱われる。,Cautions: Sierra GordaでのMejíaの過去の戦果は別途確認が必要。 Verification needed: yes.,地形を活かした山岳逃避・再起構想に使える。,Maximilian; Tomás Mejía,planned imperial breakout,Querétaro; Sierra Gorda,Mexican Empire; imperial army,geography; military retreat; resistance,,
FACT_MEXEMP_2319,Maximilianは最終的な海岸脱出も想定していた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,author_interpretation,probable,Shawcrossの叙述では、Sierra Gordaでの再建が不可能な場合、Maximilianは海岸へ向かい、オーストリア船を見つけて欧州へ逃れる可能性も考えていた。,Shawcrossの叙述では、Sierra Gordaでの再建が不可能な場合、Maximilianは海岸へ向かい、オーストリア船を見つけて欧州へ逃れる可能性も考えていた。,Source note: Austrian ship Japanese note: Maximilianの内心・構想を含むため著者整理として扱う。,Cautions: 実際に船が待っていたかは別問題。 Verification needed: yes.,退位・亡命・最後の逃げ道という心理的選択肢に使える。,Maximilian,planned imperial breakout,Sierra Gorda; Mexican coast; Europe,Mexican Empire; Austrian ship,exile; contingency planning; imperial collapse,,
FACT_MEXEMP_2320,脱出攻撃は5月13日に設定されたが延期された,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,historical_fact,probable,脱出攻撃は5月13日に設定されたが、Mejíaが市民兵募集に苦労したため、翌日深夜へ延期された。,脱出攻撃は5月13日に設定されたが、Mejíaが市民兵募集に苦労したため、翌日深夜へ延期された。,Source note: May 13 Japanese note: 日付明示あり。,Cautions: 翌日深夜の具体日付は相対日付として確認する。 Verification needed: yes.,崩壊前の遅延と焦燥を描ける。,Maximilian; Tomás Mejía,planned imperial breakout,Querétaro,Mexican Empire; imperial army; volunteer legion,military delay; civilian mobilization,,
FACT_MEXEMP_2321,Maximilianは捕縛に備えて近侍に所持品を分けた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,primary_testimony,probable,脱出準備中、Maximilianは捕らえられた場合に備え、金銭や所持品をSalm-Salm、Blasio、Basch、Lópezら近侍に分けた。,脱出準備中、Maximilianは捕らえられた場合に備え、金銭や所持品をSalm-Salm、Blasio、Basch、Lópezら近侍に分けた。,Source note: 近侍への分配場面 Japanese note: 回想・証言由来の可能性が高い。,Cautions: 所持品の内訳はこのページでは細かく確認しない。 Verification needed: yes.,皇帝が敗北を予期する象徴的場面として使える。,Maximilian; Prince Felix Salm-Salm; José Luis Blasio; Samuel Basch; Miguel López,planned imperial breakout,Querétaro,Mexican Empire,personal crisis; captivity; court entourage,,
FACT_MEXEMP_2322,LópezはMaximilianの個人護衛を任された,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,historical_fact,probable,LópezはEmpress’ RegimentとともにMaximilianを個人的に護衛する役割を担うことになった。,LópezはEmpress’ RegimentとともにMaximilianを個人的に護衛する役割を担うことになった。,Source note: Empress’ Regiment Japanese note: Lópezの役割は、この時点では護衛として記述される。,Cautions: この記述だけで忠誠・裏切りを断定しない。 Verification needed: yes.,後の裏切り疑惑との対比に使える。,Maximilian; Miguel López,planned imperial breakout,Querétaro,Empress’ Regiment; Mexican Empire,personal guard; loyalty; command,,
FACT_MEXEMP_2323,Mejíaはさらに24時間の延期を求めた,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,historical_fact,probable,攻撃計画を決める軍議で、Mejíaは義勇兵の準備不足を理由に、さらに24時間の延期を求めた。,攻撃計画を決める軍議で、Mejíaは義勇兵の準備不足を理由に、さらに24時間の延期を求めた。,Source note: twenty-four-hour delay Japanese note: 延期が共和派突入に先んじられる背景になる。,Cautions: Mejíaの判断を単純な失策と断定しない。 Verification needed: yes.,一日の遅れが命取りになる構成に使える。,Tomás Mejía; Maximilian; Prince Felix Salm-Salm,planned imperial breakout,Querétaro,Mexican Empire; imperial army,military delay; command disagreement,,
FACT_MEXEMP_2324,Salm-Salmは延期に不満を示した,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,primary_testimony,probable,Salm-Salmは、Mejíaには脱出を援護するだけの兵力があるとして、延期に不満を示したとされる。,Salm-Salmは、Mejíaには脱出を援護するだけの兵力があるとして、延期に不満を示したとされる。,Source note: 脚注23付近 Japanese note: Salm-Salmの自己正当化を含む可能性がある。,Cautions: Salm-Salm視点の誇張可能性を留保する。 Verification needed: yes.,指揮官間の焦燥と対立に使える。,Prince Felix Salm-Salm; Tomás Mejía; Maximilian,planned imperial breakout,Querétaro,Mexican Empire; imperial army,military disagreement; memoir testimony,,
FACT_MEXEMP_2325,MaximilianはLópezに自分を撃つよう命じたとされる,draft,2026-06-10,2026-06-10,fact-card;chapter2;mexemp;shawcross,SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO,Chapter 2 THE ARCHDUKE AND THE PRINCESS / 9 UNDER SIEGE,Kindle PC 287/400,No.4067/7062,スクリーンショット 2026-05-31 13.11.26.png,primary_testimony,probable,MaximilianはLópezに勇敢さを称えるメダルを与え、自分が負傷して逃げられなくなった場合は銃で命を絶つよう命じたとされる。,MaximilianはLópezに勇敢さを称えるメダルを与え、自分が負傷して逃げられなくなった場合は銃で命を絶つよう命じたとされる。,Source note: Lópezへの命令 Japanese note: 非常に劇的な逸話であり原典確認が必要。,Cautions: 事実化しすぎず、証言由来として扱う。 Verification needed: yes.,捕縛を恐れる皇帝の心理とLópezの立場を描ける。,Maximilian; Miguel López,planned imperial breakout,Querétaro,Mexican Empire,suicide order; loyalty; captivity,,
