"id","title","status","created","updated","tags","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","type","source_title","author","statement","source_note","japanese_note","cautions","verification_needed"
"FACT_HAMNETT_JUAREZ_0049","Guanajuato鉱業の回復遅延と政治的影響力低下","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;geo-politics;mining","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","historical_fact","probable","Hamnettは、Guanajuatoの鉱業が少なくとも1850年代まで本格回復せず、その政治的影響力も低下したと説明している。","Hamnettは、Guanajuatoの鉱業が少なくとも1850年代まで本格回復せず、その政治的影響力も低下したと説明している。","Source note: 独立戦争後の鉱業回復差を地域政治影響力と結びつける箇所。 Japanese note: Guanajuatoの相対的後退を、Zacatecasとの対比で読む。","Cautions: 鉱業統計は別資料で確認。 Verification needed: yes","鉱山州でも戦後回復速度に差があり、地方政治の重みが変化する背景に使える。","","War of Independence","Guanajuato","","mining economy;regional decline;geo-politics of Mexico","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Guanajuatoの鉱業が少なくとも1850年代まで本格回復せず、その政治的影響力も低下したと説明している。","独立戦争後の鉱業回復差を地域政治影響力と結びつける箇所。","Guanajuatoの相対的後退を、Zacatecasとの対比で読む。","鉱業統計は別資料で確認。","yes"
"FACT_HAMNETT_JUAREZ_0050","Zacatecas銀経済の早期回復","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;zacatecas;mining","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","historical_fact","probable","Zacatecasの銀経済は1817年以後に急速に回復し、約10年後にはメキシコ銀産出の大きな割合を占めたとされる。","Zacatecasの銀経済は1817年以後に急速に回復し、約10年後にはメキシコ銀産出の大きな割合を占めたとされる。","Source note: Zacatecasの戦後回復と銀産出比重を述べる箇所。 Japanese note: Guanajuatoとの対比で、Zacatecasの地域的台頭を示す。","Cautions: 産出比率の数値は要確認。 Verification needed: yes","地方の経済回復が政治的発言力に転じる背景として使える。","","War of Independence","Zacatecas","","silver economy;mining economy;regional recovery","","","fact","Juárez","Brian R. Hamnett","Zacatecasの銀経済は1817年以後に急速に回復し、約10年後にはメキシコ銀産出の大きな割合を占めたとされる。","Zacatecasの戦後回復と銀産出比重を述べる箇所。","Guanajuatoとの対比で、Zacatecasの地域的台頭を示す。","産出比率の数値は要確認。","yes"
"FACT_HAMNETT_JUAREZ_0051","García Salinas政権下のZacatecas自由主義実験","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;zacatecas;liberalism","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","author_interpretation","probable","Hamnettは、Francisco García Salinas州政下のZacatecasを、独立後自由主義実験の代表例として位置付けている。","Hamnettは、Francisco García Salinas州政下のZacatecasを、独立後自由主義実験の代表例として位置付けている。","Source note: García Salinas州政下の教育・図書館・農業開発施策を自由主義実験として整理する箇所。 Japanese note: 制度整備そのものと、それを自由主義実験と評価するHamnettの解釈を分けて扱う。","Cautions: 具体制度名と実効性は別資料で要確認。 Verification needed: yes","州単位の改革政治を、中央政府とは別の近代化構想として描ける。","Francisco García Salinas","","Zacatecas","state government","Liberalism;state reform;education;agrarian development","","","fact","Juárez","Brian R. Hamnett","Hamnettは、Francisco García Salinas州政下のZacatecasを、独立後自由主義実験の代表例として位置付けている。","García Salinas州政下の教育・図書館・農業開発施策を自由主義実験として整理する箇所。","制度整備そのものと、それを自由主義実験と評価するHamnettの解釈を分けて扱う。","具体制度名と実効性は別資料で要確認。","yes"
"FACT_HAMNETT_JUAREZ_0052","州政府による中央政府歳入圧力への抵抗","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;federalism;finance","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","author_interpretation","probable","Hamnettは、州政府が中央政府による歳入への圧力に抵抗し、地方資源の中央利用を制限したと説明している。","Hamnettは、州政府が中央政府による歳入への圧力に抵抗し、地方資源の中央利用を制限したと説明している。","Source note: 連邦制、州歳入、連邦政府の脆弱性を結びつける説明。 Japanese note: 連邦主義を理念だけでなく財政構造として扱う。","Cautions: Hamnettの制度解釈を含む。 Verification needed: yes","地方エリートが中央政府に反発する場面の利害背景に使える。","","","Zacatecas","state governments;federal government","federalism;state autonomy;public finance","","","fact","Juárez","Brian R. Hamnett","Hamnettは、州政府が中央政府による歳入への圧力に抵抗し、地方資源の中央利用を制限したと説明している。","連邦制、州歳入、連邦政府の脆弱性を結びつける説明。","連邦主義を理念だけでなく財政構造として扱う。","Hamnettの制度解釈を含む。","yes"
"FACT_HAMNETT_JUAREZ_0053","Zacatecas民兵と州自律の防衛","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;zacatecas;militia","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","historical_fact","probable","Zacatecasなどの州政府は、連邦制度と州自律を守るために民兵を形成し、Zacatecasでは約3,000人規模に達したとされる。","Zacatecasなどの州政府は、連邦制度と州自律を守るために民兵を形成し、Zacatecasでは約3,000人規模に達したとされる。","Source note: 州政府が自律性防衛のために民兵を形成したという叙述。 Japanese note: 地方の軍事力を連邦主義と州財政の延長として扱う。","Cautions: 民兵数は要確認。 Verification needed: yes","中央政府と地方政府の緊張を、武装した州民兵の存在で具体化できる。","","","Zacatecas","state governments;civil militias;federal government","federalism;civil militias;state autonomy;military power","","","fact","Juárez","Brian R. Hamnett","Zacatecasなどの州政府は、連邦制度と州自律を守るために民兵を形成し、Zacatecasでは約3,000人規模に達したとされる。","州政府が自律性防衛のために民兵を形成したという叙述。","地方の軍事力を連邦主義と州財政の延長として扱う。","民兵数は要確認。","yes"
"FACT_HAMNETT_JUAREZ_0054","Puebla州内の地域的分岐","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;puebla;regional-divergence","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","author_interpretation","probable","Pueblaでは中央渓谷、南部砂糖地帯、北部高地がそれぞれ異なる人口・経済・社会的軌跡をたどったとHamnettは整理している。","Pueblaでは中央渓谷、南部砂糖地帯、北部高地がそれぞれ異なる人口・経済・社会的軌跡をたどったとHamnettは整理している。","Source note: Pueblaを均質な州ではなく、複数地域の異なる動態として説明する箇所。 Japanese note: Pueblaを一枚岩の政治単位として扱わないためのカード。","Cautions: 各地域の範囲と具体指標は要確認。 Verification needed: yes","同じ州内でも地域によって人物の利害や政治選択が変わる設定に使える。","","","Puebla","","regional divergence;landownership;sugar economy;demographic change","","","fact","Juárez","Brian R. Hamnett","Pueblaでは中央渓谷、南部砂糖地帯、北部高地がそれぞれ異なる人口・経済・社会的軌跡をたどったとHamnettは整理している。","Pueblaを均質な州ではなく、複数地域の異なる動態として説明する箇所。","Pueblaを一枚岩の政治単位として扱わないためのカード。","各地域の範囲と具体指標は要確認。","yes"
"FACT_HAMNETT_JUAREZ_0055","Puebla中央渓谷の停滞","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;puebla;rural-economy","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","historical_fact","probable","Pueblaの伝統的なHispano-Indian central valleysは、18世紀初頭から19世紀後半まで人口・経済面で大きく停滞したとされる。","Pueblaの伝統的なHispano-Indian central valleysは、18世紀初頭から19世紀後半まで人口・経済面で大きく停滞したとされる。","Source note: Puebla中央渓谷の人口・経済停滞を述べる箇所。 Japanese note: 停滞を地域社会・土地所有制の限界と接続して読む。","Cautions: 人口・経済停滞の統計的裏付けは要確認。 Verification needed: yes","長期停滞地域の農村社会、負債、労働抵抗の背景に使える。","","","Puebla","","demographic stagnation;landownership;rural economy","","","fact","Juárez","Brian R. Hamnett","Pueblaの伝統的なHispano-Indian central valleysは、18世紀初頭から19世紀後半まで人口・経済面で大きく停滞したとされる。","Puebla中央渓谷の人口・経済停滞を述べる箇所。","停滞を地域社会・土地所有制の限界と接続して読む。","人口・経済停滞の統計的裏付けは要確認。","yes"
"FACT_HAMNETT_JUAREZ_0056","Puebla南部砂糖地帯とethnosocial tensions","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;puebla;ethnosocial","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","author_interpretation","probable","Puebla南部周辺部の砂糖地帯は一時拡大・回復したが、農園主と村落共同体のethnosocial relationsは緊張したままだったとされる。","Puebla南部周辺部の砂糖地帯は一時拡大・回復したが、農園主と村落共同体のethnosocial relationsは緊張したままだったとされる。","Source note: 砂糖地帯の経済回復と村落共同体との緊張を併記する箇所。 Japanese note: 経済回復を社会的安定と同一視しないためのカード。","Cautions: 具体的事件名は本文後続または別資料で確認。 Verification needed: yes","農園主と村落共同体の衝突を、土地・労働・民族社会関係の緊張として描ける。","","","Puebla;Cuautla-Yautepec;Morelos;Oaxacan Mixteca","","sugar economy;ethnosocial relations;village communities;land conflict","","","fact","Juárez","Brian R. Hamnett","Puebla南部周辺部の砂糖地帯は一時拡大・回復したが、農園主と村落共同体のethnosocial relationsは緊張したままだったとされる。","砂糖地帯の経済回復と村落共同体との緊張を併記する箇所。","経済回復を社会的安定と同一視しないためのカード。","具体的事件名は本文後続または別資料で確認。","yes"
"FACT_HAMNETT_JUAREZ_0057","Puebla北部高地のLiberal support基盤","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;puebla;liberalism;national-guard","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","author_interpretation","probable","Puebla北部高地はVeracruzとValley of Mexicoを結ぶ通過地帯として人口と重要性を増し、Reform eraのLiberal supportとPuebla National Guardの社会的基盤になったとされる。","Puebla北部高地はVeracruzとValley of Mexicoを結ぶ通過地帯として人口と重要性を増し、Reform eraのLiberal supportとPuebla National Guardの社会的基盤になったとされる。","Source note: Puebla北部高地の人口変化、通過地帯性、Liberal supportを結びつける箇所。 Japanese note: 軍事組織の基盤を地理・人口移動・混合的社会構成から読む。","Cautions: Puebla National Guardの活動実態は要確認。 Verification needed: yes","街道沿いの兵士、商人、噂、政治的動員が交差する場面に向く。","","Reform era","Puebla;Veracruz;Valley of Mexico","Puebla National Guard","Liberalism;National Guard;transit zone;mixed population","","","fact","Juárez","Brian R. Hamnett","Puebla北部高地はVeracruzとValley of Mexicoを結ぶ通過地帯として人口と重要性を増し、Reform eraのLiberal supportとPuebla National Guardの社会的基盤になったとされる。","Puebla北部高地の人口変化、通過地帯性、Liberal supportを結びつける箇所。","軍事組織の基盤を地理・人口移動・混合的社会構成から読む。","Puebla National Guardの活動実態は要確認。","yes"
"FACT_HAMNETT_JUAREZ_0058","Oaxaca北部シエラのjuarista支持","draft","2026-06-14","2026-06-14","fact-card;hamnett;juarez;chapter1;oaxaca;juarista","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 4-5","4-5","/page/4/mode/2up, Page 4 (19/323)","","スクリーンショット 2026-06-13 17.22.44.jpeg","historical_fact","probable","Oaxaca北部シエラは、1870年代までjuarista supportの中核地帯となったとHamnettは説明している。","Oaxaca北部シエラは、1870年代までjuarista supportの中核地帯となったとHamnettは説明している。","Source note: Oaxaca内の地域差とJuárez支持基盤を述べる箇所。 Japanese note: Juárez支持を全国的共和派の抽象ではなく、地域基盤から整理する。","Cautions: 支持層の構成と変化は要確認。 Verification needed: yes","Juárezの地元支持を山地社会の政治的忠誠・利害として描ける。","Benito Juárez","","Oaxaca;northern sierra of Oaxaca","","juarista support;regional political base;Oaxaca politics","","","fact","Juárez","Brian R. Hamnett","Oaxaca北部シエラは、1870年代までjuarista supportの中核地帯となったとHamnettは説明している。","Oaxaca内の地域差とJuárez支持基盤を述べる箇所。","Juárez支持を全国的共和派の抽象ではなく、地域基盤から整理する。","支持層の構成と変化は要確認。","yes"
