"id","title","status","created","updated","tags","source_id","chapter","page","kindle_location","screenshot_file","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","type","source_title","statement","source_note","japanese_note","cautions","verification_needed"
"FACT_MEXEMP_2485","Agnes Salm-Salmは処刑前日にJuárezへ助命を嘆願した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","Agnes Salm-SalmはMaximilianらの処刑前日にJuárezと面会し、赦免を求めたが、Juárezはこれを拒否した。","Agnes Salm-SalmはMaximilianらの処刑前日にJuárezと面会し、赦免を求めたが、Juárezはこれを拒否した。","Source note: day before the execution. Japanese note: Agnesの直接嘆願とJuárezの拒否が描かれる。","Cautions: Agnes側回想・劇的脚色の可能性あり。 Verification needed: yes.","女性による最後の嘆願と、国家指導者の拒否を対置できる。","Agnes Salm-Salm; Benito Juárez; Maximilian","pardon petitions; Execution of Maximilian, Miramón and Mejía","San Luis Potosí","Juárez government; Republic of Mexico","mercy petition; foreign intervention; republican sovereignty","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Agnes Salm-SalmはMaximilianらの処刑前日にJuárezと面会し、赦免を求めたが、Juárezはこれを拒否した。","day before the execution","Agnesの直接嘆願とJuárezの拒否が描かれる。","Agnes側回想・劇的脚色の可能性あり。","yes"
"FACT_MEXEMP_2486","Juárezは処刑を人民と法の意思として説明した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","JuárezはAgnes Salm-Salmへの返答で、Maximilianの命を奪うのは自分個人ではなく、人民と法であるという趣旨を示した。","JuárezはAgnes Salm-Salmへの返答で、Maximilianの命を奪うのは自分個人ではなく、人民と法であるという趣旨を示した。","Source note: people and the law. Japanese note: Juárezの拒否理由は個人的報復ではなく法と人民意思として語られる。","Cautions: 発言録の原典確認が必要。 Verification needed: yes.","Juárezを冷酷な個人ではなく、法の執行者として描ける。","Benito Juárez; Agnes Salm-Salm; Maximilian","pardon petitions; Execution of Maximilian, Miramón and Mejía","San Luis Potosí","Juárez government; Republic of Mexico","rule of law; sovereignty; republican legalism","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","JuárezはAgnes Salm-Salmへの返答で、Maximilianの命を奪うのは自分個人ではなく、人民と法であるという趣旨を示した。","people and the law","Juárezの拒否理由は個人的報復ではなく法と人民意思として語られる。","発言録の原典確認が必要。","yes"
"FACT_MEXEMP_2487","Concepción LombardoはJuárezとの面会を許されなかった","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","Maximilian側の最後の希望とされたConcepción Lombardoは、Juárezとの面会を認められなかった。","Maximilian側の最後の希望とされたConcepción Lombardoは、Juárezとの面会を認められなかった。","Source note: audience refused. Japanese note: Miramónの妻Concepción Lombardoは面会できなかった。","Cautions: last hopeはMaximilian側視点の評価。 Verification needed: yes.","最後の助命工作が制度的に遮断される場面に使える。","Concepción Lombardo; Benito Juárez; Maximilian","pardon petitions","San Luis Potosí","Juárez government","mercy petition; gendered diplomacy; execution politics","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Maximilian側の最後の希望とされたConcepción Lombardoは、Juárezとの面会を認められなかった。","audience refused","Miramónの妻Concepción Lombardoは面会できなかった。","last hopeはMaximilian側視点の評価。","yes"
"FACT_MEXEMP_2488","Martínez de la TorreはJuárezに流血停止を訴えた","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","Rafael Martínez de la TorreはJuárezに対し、さらなる流血を避けるよう訴えた。","Rafael Martínez de la TorreはJuárezに対し、さらなる流血を避けるよう訴えた。","Source note: no more blood. Japanese note: 弁護側の最後の政治的・道徳的訴えとして描かれる。","Cautions: 発言の正確な文言は原典確認が必要。 Verification needed: yes.","処刑前の対話劇に使える。","Rafael Martínez de la Torre; Benito Juárez","pardon petitions","San Luis Potosí","Juárez government","clemency; political violence; republican justice","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Rafael Martínez de la TorreはJuárezに対し、さらなる流血を避けるよう訴えた。","no more blood","弁護側の最後の政治的・道徳的訴えとして描かれる。","発言の正確な文言は原典確認が必要。","yes"
"FACT_MEXEMP_2489","Juárezは処刑の必要性と正義は後世が理解すると答えた","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","JuárezはMartínez de la Torreの訴えに対し、処刑の必要性とそれを支える正義は現時点では理解されず、時が判断するという趣旨で答えた。","JuárezはMartínez de la Torreの訴えに対し、処刑の必要性とそれを支える正義は現時点では理解されず、時が判断するという趣旨で答えた。","Source note: time will judge. Japanese note: Juárezの自己認識・政治判断を示す発言として扱える。","Cautions: 逐語的事実ではなく証言依存。 Verification needed: yes.","Juárezの硬質な政治哲学を描く台詞素材。","Benito Juárez; Rafael Martínez de la Torre","Execution of Maximilian, Miramón and Mejía","San Luis Potosí","Juárez government; Republic of Mexico","historical judgment; republican justice; state necessity","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","JuárezはMartínez de la Torreの訴えに対し、処刑の必要性とそれを支える正義は現時点では理解されず、時が判断するという趣旨で答えた。","time will judge","Juárezの自己認識・政治判断を示す発言として扱える。","逐語的事実ではなく証言依存。","yes"
"FACT_MEXEMP_2490","6月16日の執行延期は赦免の前兆ではなかった","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","author_interpretation","probable","Shawcrossは、6月16日の執行延期は赦免への布石ではなく、死刑囚に身辺整理の時間を与えるためだったと整理している。","Shawcrossは、6月16日の執行延期は赦免への布石ではなく、死刑囚に身辺整理の時間を与えるためだったと整理している。","Source note: postponed for three days. Japanese note: 99枚目でSalm-Salm側は希望と受け取ったが、ここでは赦免ではないと整理される。","Cautions: Juárezの実際の内心・政府内議論は別史料確認が必要。 Verification needed: yes.","希望と現実の落差を描ける。","Benito Juárez; Maximilian; Miguel Miramón; Tomás Mejía","postponement of execution","Querétaro; San Luis Potosí","Juárez government","clemency; legal procedure; execution politics","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Shawcrossは、6月16日の執行延期は赦免への布石ではなく、死刑囚に身辺整理の時間を与えるためだったと整理している。","postponed for three days","99枚目でSalm-Salm側は希望と受け取ったが、ここでは赦免ではないと整理される。","Juárezの実際の内心・政府内議論は別史料確認が必要。","yes"
"FACT_MEXEMP_2491","Shawcrossは三人を異なる反共和勢力の象徴として位置づけた","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","author_interpretation","probable","Shawcrossは、Maximilianを君主制と外国干渉、Miramónを貴族的クレオール保守エリート、Mejíaを先住民的・民衆的・宗教的保守主義の象徴として整理している。","Shawcrossは、Maximilianを君主制と外国干渉、Miramónを貴族的クレオール保守エリート、Mejíaを先住民的・民衆的・宗教的保守主義の象徴として整理している。","Source note: symbolic triad. Japanese note: 三人の処刑を政治象徴として読む整理。","Cautions: 著者解釈であり、本人たちの全体像とは限らない。 Verification needed: no.","三人を単なる共犯ではなく、それぞれ異なる歴史勢力として描ける。","Maximilian; Miguel Miramón; Tomás Mejía; Benito Juárez","Execution of Maximilian, Miramón and Mejía","Mexico","Mexican Empire; Republic of Mexico","monarchy; foreign intervention; conservatism; republican liberalism","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Shawcrossは、Maximilianを君主制と外国干渉、Miramónを貴族的クレオール保守エリート、Mejíaを先住民的・民衆的・宗教的保守主義の象徴として整理している。","symbolic triad","三人の処刑を政治象徴として読む整理。","著者解釈であり、本人たちの全体像とは限らない。","no"
"FACT_MEXEMP_2492","ShawcrossはJuárezが三人の死を共和主義的自由主義の勝利と見たと整理した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","author_interpretation","probable","Shawcrossは、JuárezがMaximilian、Miramón、Mejíaの死を、長年の政治的混乱を経た共和主義的自由主義の最終的勝利として見ていたと整理している。","Shawcrossは、JuárezがMaximilian、Miramón、Mejíaの死を、長年の政治的混乱を経た共和主義的自由主義の最終的勝利として見ていたと整理している。","Source note: republican liberalism. Japanese note: Juárez側の政治的意味づけとして重要。","Cautions: Juárezの内心として断定せず、著者整理として扱う。 Verification needed: yes.","処刑を個人復讐でなく歴史的決着として描く材料。","Benito Juárez; Maximilian; Miguel Miramón; Tomás Mejía","Execution of Maximilian, Miramón and Mejía","Mexico","Republic of Mexico; Mexican Empire","republican liberalism; state formation; political violence","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Shawcrossは、JuárezがMaximilian、Miramón、Mejíaの死を、長年の政治的混乱を経た共和主義的自由主義の最終的勝利として見ていたと整理している。","republican liberalism","Juárez側の政治的意味づけとして重要。","Juárezの内心として断定せず、著者整理として扱う。","yes"
"FACT_MEXEMP_2493","Maximilianは処刑前日にMagnusへ死を受け入れている趣旨を語った","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","Maximilianは処刑前日にMagnusへ、世界と和解しているという趣旨を述べ、死を受け入れている姿勢を示した。","Maximilianは処刑前日にMagnusへ、世界と和解しているという趣旨を述べ、死を受け入れている姿勢を示した。","Source note: peace with the world. Japanese note: Maximilianの最期の自己像を形成する証言。","Cautions: Magnus証言の原典確認が必要。 Verification needed: yes.","処刑前日の静けさを描く素材。","Maximilian; Baron Anton von Magnus","Execution of Maximilian, Miramón and Mejía","Querétaro","Prussian legation","death acceptance; martyrdom narrative","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Maximilianは処刑前日にMagnusへ、世界と和解しているという趣旨を述べ、死を受け入れている姿勢を示した。","peace with the world","Maximilianの最期の自己像を形成する証言。","Magnus証言の原典確認が必要。","yes"
"FACT_MEXEMP_2494","Maximilianは6月16日に死ぬ覚悟ができていたと語った","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","MaximilianはMagnusに対し、6月16日の時点で死の準備は完全にできており、延期は耐え難かったという趣旨を述べた。","MaximilianはMagnusに対し、6月16日の時点で死の準備は完全にできており、延期は耐え難かったという趣旨を述べた。","Source note: prepared for death. Japanese note: 執行延期が希望より苦痛として描かれる。","Cautions: 心理描写は証言・著者構成に依存。 Verification needed: yes.","一度死を受け入れた人物を再び待たせる残酷さを描ける。","Maximilian; Baron Anton von Magnus","postponement of execution","Querétaro","Prussian legation","execution psychology; martyrdom narrative","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","MaximilianはMagnusに対し、6月16日の時点で死の準備は完全にできており、延期は耐え難かったという趣旨を述べた。","prepared for death","執行延期が希望より苦痛として描かれる。","心理描写は証言・著者構成に依存。","yes"
"FACT_MEXEMP_2495","MaximilianにはCarlota死亡の誤報が届いた","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","処刑前、MaximilianにはCarlotaが死んだという誤った噂が届いた。","処刑前、MaximilianにはCarlotaが死んだという誤った噂が届いた。","Source note: false rumour. Japanese note: Carlotaは実際には生存していたため、誤報として扱う。","Cautions: 噂の発生源・伝達経路は要確認。 Verification needed: yes.","Maximilianの最後の感情的支柱として使える。","Maximilian; Carlota","Execution of Maximilian, Miramón and Mejía","Querétaro","Mexican Empire","rumor; marital devotion; death narrative","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","処刑前、MaximilianにはCarlotaが死んだという誤った噂が届いた。","false rumour","Carlotaは実際には生存していたため、誤報として扱う。","噂の発生源・伝達経路は要確認。","yes"
"FACT_MEXEMP_2496","MaximilianはCarlotaとの再会を思って死を受け入れたと語った","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","Carlota死亡の誤報を受けたMaximilianは、彼女と再会できるため安らかに死ねるという趣旨をMagnusへ語った。","Carlota死亡の誤報を受けたMaximilianは、彼女と再会できるため安らかに死ねるという趣旨をMagnusへ語った。","Source note: reunion with Carlota. Japanese note: Carlota死亡は誤報だが、Maximilianの心理描写として重要。","Cautions: 医学的・心理的診断ではなく証言上の感情表現。 Verification needed: yes.","悲劇的な誤認と救済感を描ける。","Maximilian; Carlota; Baron Anton von Magnus","Execution of Maximilian, Miramón and Mejía","Querétaro","Mexican Empire; Prussian legation","marital devotion; Catholic death; martyrdom narrative","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","Carlota死亡の誤報を受けたMaximilianは、彼女と再会できるため安らかに死ねるという趣旨をMagnusへ語った。","reunion with Carlota","Carlota死亡は誤報だが、Maximilianの心理描写として重要。","医学的・心理的診断ではなく証言上の感情表現。","yes"
"FACT_MEXEMP_2497","MaximilianはMagnus宛書簡でCarlotaと共に葬られる望みを示した","draft","2026-06-13","2026-06-13","fact-card;chapter2;mexemp;shawcross","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / 10 THE TRIAL","Kindle PC 307/400ページ","No.4349/7062","スクリーンショット 2026-05-31 13.11.46.png","primary_testimony","probable","MaximilianはMagnus宛の書簡で、地上にはCarlotaの遺体のそばに葬られること以外の望みがないという趣旨を記した。","MaximilianはMagnus宛の書簡で、地上にはCarlotaの遺体のそばに葬られること以外の望みがないという趣旨を記した。","Source note: letter to Magnus. Japanese note: Carlota死亡誤報を前提にした書簡内容。","Cautions: 書簡原文確認が必要。 Verification needed: yes.","書簡形式でMaximilianの孤独を描ける。","Maximilian; Carlota; Baron Anton von Magnus","Execution of Maximilian, Miramón and Mejía","Querétaro","Prussian legation; Mexican Empire","farewell letters; marital devotion; martyrdom narrative","","","fact_card","The Last Emperor of Mexico: A Disaster in the New World","MaximilianはMagnus宛の書簡で、地上にはCarlotaの遺体のそばに葬られること以外の望みがないという趣旨を記した。","letter to Magnus","Carlota死亡誤報を前提にした書簡内容。","書簡原文確認が必要。","yes"
