"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","date","event_summary","source_title","author","creative_use","verification_needed","related_capture"
"TIME_HAMNETT_JUAREZ_0119","1830年、JuárezがInstituteで物理学代講教授となる","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;legal-formation","1830","","year","Gregorian","historical_fact","probable","JuárezがOaxacaのInstitute of Sciences and Artsで物理学代講教授となった。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Benito Juárez","","Oaxaca","Institute of Sciences and Arts of Oaxaca","Juárez legal career formation;Juárez early political career","FACT_HAMNETT_JUAREZ_0261;FACT_HAMNETT_JUAREZ_0262","Creative use: 生活費を得ながら学ぶJuárezの職業的上昇を示す。 Verification needed: yes","1830","JuárezがOaxacaのInstitute of Sciences and Artsで物理学代講教授となった。","Juárez","Brian R. Hamnett","生活費を得ながら学ぶJuárezの職業的上昇を示す。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0120","1831年2月、Vicente GuerreroがCuilapanで処刑される","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;guerrero","1831-02","","month","Gregorian","historical_fact","probable","Vicente GuerreroがOaxaca近郊Cuilapanで処刑された。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Vicente Guerrero","Guerrero rehabilitation campaign","Cuilapan;Oaxaca","","symbolic politics and Guerrero;Morelos revolutionary legacy","FACT_HAMNETT_JUAREZ_0271;FACT_HAMNETT_JUAREZ_0272","Creative use: 後の名誉回復・遺骸移送の前提事件として使う。 Verification needed: yes","1831-02","Vicente GuerreroがOaxaca近郊Cuilapanで処刑された。","Juárez","Brian R. Hamnett","後の名誉回復・遺骸移送の前提事件として使う。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0121","1832年、JuárezがOaxaca市参事会に選出される","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;city-council","1832","","year","Gregorian","historical_fact","probable","López Ortigozaの支援により、JuárezがOaxaca市参事会に選出された。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Benito Juárez;López Ortigoza","","Oaxaca","Oaxaca city council","Juárez early political career;Oaxaca provincial liberalism","FACT_HAMNETT_JUAREZ_0264","Creative use: Juárezの地方行政デビューとして使える。 Verification needed: yes","1832","López Ortigozaの支援により、JuárezがOaxaca市参事会に選出された。","Juárez","Brian R. Hamnett","Juárezの地方行政デビューとして使える。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0122","1833年1月、Ramírez de AguilarがOaxaca州知事に再任される","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;oaxaca-governor","1833-01","","month","Gregorian","historical_fact","probable","Ramírez de AguilarがOaxaca州知事に再任された。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Ramón Ramírez de Aguilar","","Oaxaca","Oaxaca state legislature","Oaxaca provincial liberalism;Juárez early political career","FACT_HAMNETT_JUAREZ_0260","Creative use: Juárezが州政治へ入る時期の制度背景。 Verification needed: yes","1833-01","Ramírez de AguilarがOaxaca州知事に再任された。","Juárez","Brian R. Hamnett","Juárezが州政治へ入る時期の制度背景。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0123","1833年初め、JuárezがOaxaca州議会へ送られる","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;state-legislature","1833","","year","Gregorian","historical_fact","probable","1833年初め、Ramírez de AguilarがJuárezをOaxaca州議会へ送った。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Benito Juárez;Ramón Ramírez de Aguilar","Liberal Experiment of 1833-34","Oaxaca","Oaxaca state legislature;Institute of Sciences and Arts of Oaxaca","Juárez early political career;Oaxaca provincial liberalism","FACT_HAMNETT_JUAREZ_0265;FACT_HAMNETT_JUAREZ_0266","Creative use: Instituteから州議会へ移る転換点として使える。 Verification needed: yes","1833","1833年初め、Ramírez de AguilarがJuárezをOaxaca州議会へ送った。","Juárez","Brian R. Hamnett","Instituteから州議会へ移る転換点として使える。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0124","1834年1月、Juárezが最終法学試験に合格する","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;law-exam","1834-01","","month","Gregorian","historical_fact","probable","Juárezが最終法学試験に合格し、Oaxaca州内で弁護士として活動する資格を得た。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Benito Juárez","Juárez final law examination 1834","Oaxaca","State Court of Justice","Juárez legal career formation;Reform prehistory","FACT_HAMNETT_JUAREZ_0267;FACT_HAMNETT_JUAREZ_0268;FACT_HAMNETT_JUAREZ_0269","Creative use: 公的な法曹資格獲得の場面として使える。 Verification needed: yes","1834-01","Juárezが最終法学試験に合格し、Oaxaca州内で弁護士として活動する資格を得た。","Juárez","Brian R. Hamnett","公的な法曹資格獲得の場面として使える。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0125","1834年2月、JuárezがState Courtの公式判事となる","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;state-court","1834-02","","month","Gregorian","historical_fact","probable","JuárezがState Courtの公式判事の一人となった。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Benito Juárez","","Oaxaca","State Court of Justice","Juárez legal career formation;Juárez early political career","FACT_HAMNETT_JUAREZ_0270","Creative use: 法曹資格から司法官へ進む職業的上昇として使える。 Verification needed: yes","1834-02","JuárezがState Courtの公式判事の一人となった。","Juárez","Brian R. Hamnett","法曹資格から司法官へ進む職業的上昇として使える。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0126","1834年4月12日、Guerreroの遺骸がOaxacaへ移される","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;guerrero-remains","1834-04-12","","day","Gregorian","historical_fact","probable","Ramírez de AguilarがGuerreroの遺骸をOaxacaのDominican convent内Rosary Chapelへ移す措置を取った。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Ramón Ramírez de Aguilar;Vicente Guerrero","Transfer of Guerrero remains 1834;Guerrero rehabilitation campaign","Oaxaca;Dominican convent in Oaxaca;Rosary Chapel","Catholic Church","symbolic politics and Guerrero;Liberalism and Catholicism","FACT_HAMNETT_JUAREZ_0273","Creative use: 追悼儀礼と政治的象徴化の場面に使える。 Verification needed: yes","1834-04-12","Ramírez de AguilarがGuerreroの遺骸をOaxacaのDominican convent内Rosary Chapelへ移す措置を取った。","Juárez","Brian R. Hamnett","追悼儀礼と政治的象徴化の場面に使える。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0127","1834年4月、ÁlvarezがBustamante政権閣僚への手続を始める","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;alvarez","1834-04","","month","Gregorian","historical_fact","probable","ÁlvarezがBustamante政権閣僚への法的手続を開始した。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Juan Álvarez;Anastasio Bustamante;Vicente Guerrero","","Mexico City","","symbolic politics and Guerrero;Oaxaca provincial liberalism","FACT_HAMNETT_JUAREZ_0274;FACT_HAMNETT_JUAREZ_0277","Creative use: Guerrero記憶と全国政治の法的報復を結ぶ場面に使える。 Verification needed: yes","1834-04","ÁlvarezがBustamante政権閣僚への法的手続を開始した。","Juárez","Brian R. Hamnett","Guerrero記憶と全国政治の法的報復を結ぶ場面に使える。","yes","CAP_HAMNETT_JUAREZ_0015"
"TIME_HAMNETT_JUAREZ_0128","1834年6月、Gómez Farías系自由主義体制が崩壊する","draft","2026-06-21","2026-06-21","timeline;hamnett;juarez;chapter2;gomez-farias","1834-06","","month","Gregorian","historical_fact","probable","Gómez Farías系の自由主義体制が全国レベルで崩壊した。","SRC_HAMNETT_1994_JUAREZ","Chapter 2, THE PROVINCIAL ORIGINS: JUÁREZ AND OAXACA","THE LIBERAL EXPERIMENT OF 1833-34","printed page 24-25","24-25","/page/24/mode/2up; Page 24 (39/323)","","スクリーンショット 2026-06-13 17.23.11.jpeg","Valentín Gómez Farías;Antonio López de Santa Anna","Liberal Experiment of 1833-34;Gómez Farías reforms","Mexico","Catholic Church;Liberal Party","Reform prehistory;Church and State;Liberal-Conservative fluidity","FACT_HAMNETT_JUAREZ_0259;FACT_HAMNETT_JUAREZ_0278;FACT_HAMNETT_JUAREZ_0279","Creative use: 未完の1833-34年改革と1855-59年Reformを結ぶ前史として使える。 Verification needed: yes","1834-06","Gómez Farías系の自由主義体制が全国レベルで崩壊した。","Juárez","Brian R. Hamnett","未完の1833-34年改革と1855-59年Reformを結ぶ前史として使える。","yes","CAP_HAMNETT_JUAREZ_0015"
