"id","title","status","created","updated","tags","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","evidence_category","confidence","claim","summary","evidence_note","limitations","creative_use","people","events","places","organizations","themes","related_fact_cards","related_questions","source_title","author","source_note","japanese_note","cautions","verification_needed","related_capture"
"FACT_HAMNETT_JUAREZ_0132","前回末尾はstate-building and liberalizationに接続する","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;mexican-constitutionalism;connection-note","SRC_HAMNETT_1994_JUAREZ","Chapter 1","Mexican Constitutionalism; The Aims of Mexican Liberalism; The Politics of Fragmentation","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","historical_fact","confirmed","前回8枚目末尾の “state-building and liber-” は、9枚目冒頭で “alization” と接続し、“state-building and liberalization” となる。","前回8枚目末尾の “state-building and liber-” は、9枚目冒頭で “alization” と接続し、“state-building and liberalization” となる。","Source note: 前後ページの接続確認。 Japanese note: 0008でuncertainだったFACT_HAMNETT_JUAREZ_0131の語句確定に関わる。","Cautions: 接続確認メモであり、独立した歴史事実ではない。 Verification needed: no","前後ページの文脈崩れを防ぐ編集メモとして使う。","","","Mexico","","Mexican Constitutionalism;state-building;liberalization","FACT_HAMNETT_JUAREZ_0131","","Juárez","Brian R. Hamnett","前後ページの接続確認。","0008でuncertainだったFACT_HAMNETT_JUAREZ_0131の語句確定に関わる。","接続確認メモであり、独立した歴史事実ではない。","no","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0133","HamnettはMexican LiberalismのChurch政策に絶対主義的国家手法の継承を見る","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;mexican-liberalism;church-state","SRC_HAMNETT_1994_JUAREZ","Chapter 1","Mexican Constitutionalism; The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettは、Mexican Liberalsが憲法主義を掲げながらも、Catholic Church政策ではBourbon absolutism由来の国家主義的手法を継承したと整理する。","Hamnettは、Mexican Liberalsが憲法主義を掲げながらも、Catholic Church政策ではBourbon absolutism由来の国家主義的手法を継承したと整理する。","Source note: Mexican Liberalismに含まれるstate powerの継承性に関する著者整理。 Japanese note: Liberalismを反国家権力として単純化しないための重要点。","Cautions: Hamnettの解釈。自由主義全体への一般化は避ける。 Verification needed: no","Juárez側の改革を、自由と強い国家の緊張として描ける。","","Reforma","Mexico","Catholic Church;Liberal Party","Mexican Liberalism;Church-state relations;Enlightened Despotism;state power","","","Juárez","Brian R. Hamnett","Mexican Liberalismに含まれるstate powerの継承性に関する著者整理。","Liberalismを反国家権力として単純化しないための重要点。","Hamnettの解釈。自由主義全体への一般化は避ける。","no","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0134","Mexican LiberalsはChurchの社会的役割縮小に国家権力を用いようとした","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;mexican-liberalism;secularization","SRC_HAMNETT_1994_JUAREZ","Chapter 1","Mexican Constitutionalism; The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettによれば、Mexican LiberalsはCatholic Churchの社会的役割を縮小する目的でstate powerを用いる用意があった。","Hamnettによれば、Mexican LiberalsはCatholic Churchの社会的役割を縮小する目的でstate powerを用いる用意があった。","Source note: Churchの社会的役割縮小とstate powerの関係。 Japanese note: Church-state reformを制度構想として扱う。","Cautions: 自由主義者全員の政策強度が同一だったとは限らない。 Verification needed: yes","教会・地方社会・国家官僚が衝突する制度改革場面に使える。","","Reforma","Mexico","Catholic Church;Liberal Party","Mexican Liberalism;Church-state relations;secularization","","","Juárez","Brian R. Hamnett","Churchの社会的役割縮小とstate powerの関係。","Church-state reformを制度構想として扱う。","自由主義者全員の政策強度が同一だったとは限らない。","yes","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0135","Church subordinationとsecularizationはReforma期に頂点へ達した","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;reforma;secularization","SRC_HAMNETT_1994_JUAREZ","Chapter 1","Mexican Constitutionalism; The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettは、Churchの国家への従属化、残存財産への介入、lay educationによるsecularizationの流れが、Juárez時代のReforma期に頂点へ達したとする。","Hamnettは、Churchの国家への従属化、残存財産への介入、lay educationによるsecularizationの流れが、Juárez時代のReforma期に頂点へ達したとする。","Source note: Reforma (1855-76) をChurch-state reformの頂点として扱う著者整理。 Japanese note: 一般的なLa Reforma / Reform War / Restored Republicとの区分確認が必要。","Cautions: HamnettはReformaを1855-76の広い期間として扱っている。一般的なLa Reforma / Reform War / Restored Republicの区分とは照合が必要。 Verification needed: yes","Second Empire期Church政策との衝突を、長期Reforma過程の一部として描ける。","Benito Juárez","Reforma","Mexico","Catholic Church;Liberal Party","Liberal Reform;secularization;Church-state relations;lay education","","","Juárez","Brian R. Hamnett","Reforma (1855-76) をChurch-state reformの頂点として扱う著者整理。","一般的なLa Reforma / Reform War / Restored Republicとの区分確認が必要。","HamnettはReformaを1855-76の広い期間として扱っている。一般的なLa Reforma / Reform War / Restored Republicの区分とは照合が必要。","yes","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0136","Latin American Liberalismはcolonial pastとancien régimeからの脱却を目指した","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;latin-american-liberalism","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettは、Latin American Liberalismを、colonial pastとancien régimeの遺産から脱却しようとする闘争への応答として位置づける。","Hamnettは、Latin American Liberalismを、colonial pastとancien régimeの遺産から脱却しようとする闘争への応答として位置づける。","Source note: Latin American Liberalismの目的に関する概括。 Japanese note: Liberalismを独立後の制度形成とcolonial legacy処理の思想として読む。","Cautions: 地域ごとのLiberalismの違いを後続史料で確認する。 Verification needed: no","Mexicoの自由主義を欧州思想の単純移植ではなく、植民地遺産処理の政治として描ける。","","Wars of Independence","Latin America;Europe;Mexico","","Latin American Liberalism;colonial legacy;ancien régime","","","Juárez","Brian R. Hamnett","Latin American Liberalismの目的に関する概括。","Liberalismを独立後の制度形成とcolonial legacy処理の思想として読む。","地域ごとのLiberalismの違いを後続史料で確認する。","no","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0137","Independence struggleはsovereignty of the peopleと非エリート層参加を促した","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;sovereignty-of-the-people","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettによれば、Independence struggleにおけるarmed rebellionの正当化は、sovereignty of the peopleの採用と非エリート層の革命闘争参加を促した。","Hamnettによれば、Independence struggleにおけるarmed rebellionの正当化は、sovereignty of the peopleの採用と非エリート層の革命闘争参加を促した。","Source note: armed rebellionの正当化と政治参加拡大の関係。 Japanese note: popular classesの政治参加をLiberalismの副産物として見る。","Cautions: 非エリート層の参加形態は地域差が大きい。 Verification needed: yes","革命語彙が民衆動員と結びつく場面に使える。","","War of Independence","Mexico;Spanish America;Latin America","","Sovereignty of the People;Popular Classes in Politics;revolution","","","Juárez","Brian R. Hamnett","armed rebellionの正当化と政治参加拡大の関係。","popular classesの政治参加をLiberalismの副産物として見る。","非エリート層の参加形態は地域差が大きい。","yes","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0138","Hamnettはpeopleとnationを独立時点では未形成の政治的想像物として扱う","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;nation-building","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettは、Spanish AmericaでLiberalismの第一原理となったpeopleやnationが、独立時点で実体として存在したのではなく、まず想像され、その後形成される必要があったとする。","Hamnettは、Spanish AmericaでLiberalismの第一原理となったpeopleやnationが、独立時点で実体として存在したのではなく、まず想像され、その後形成される必要があったとする。","Source note: people / nationを未形成の政治的想像物として扱う著者解釈。 Japanese note: Juárezの国家主権防衛をnation-buildingの実践として読む入口。","Cautions: 著者解釈。ナショナリズム研究との照合候補。 Verification needed: no","未完成のnationを守る政治行為としてJuárez側の判断を構成できる。","","Wars of Independence","Spanish America;Mexico","","nation-building;Sovereignty of the People;national identity","","","Juárez","Brian R. Hamnett","people / nationを未形成の政治的想像物として扱う著者解釈。","Juárezの国家主権防衛をnation-buildingの実践として読む入口。","著者解釈。ナショナリズム研究との照合候補。","no","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0139","Mexican LiberalsとConservativesは新国家の革命的起源を異なる形で解釈した","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;liberal-conservative-origins","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettは、MexicoのLiberalsとConservative opponentsが、新しいsovereign stateの革命的起源から生じる法的・政治的意味をそれぞれ異なる方法で解釈しようとしたと説明する。","Hamnettは、MexicoのLiberalsとConservative opponentsが、新しいsovereign stateの革命的起源から生じる法的・政治的意味をそれぞれ異なる方法で解釈しようとしたと説明する。","Source note: 新国家の起源解釈をめぐるLiberal / Conservative対立。 Japanese note: 善悪二分ではなく起源論の競合として扱う。","Cautions: Conservative Partyの制度化以前の思想潮流も含む可能性あり。 Verification needed: no","保守派人物を国家起源の別解釈を持つ存在として描ける。","","War of Independence","Mexico","Liberal Party;Conservative Party","sovereign state;constitutionalism;conservatism;liberalism","","","Juárez","Brian R. Hamnett","新国家の起源解釈をめぐるLiberal / Conservative対立。","善悪二分ではなく起源論の競合として扱う。","Conservative Partyの制度化以前の思想潮流も含む可能性あり。","no","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0140","Moraはcolonial corporate survivalsをnational spirit形成の障害と見た","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;mora;national-spirit","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","José María Luis Moraは、colonial eraから残るcorporate survivalsをnational spirit形成の主要な障害と見た、とHamnettは説明する。","José María Luis Moraは、colonial eraから残るcorporate survivalsをnational spirit形成の主要な障害と見た、とHamnettは説明する。","Source note: Moraのcolonial corporate survivals批判に関するHamnettの整理。 Japanese note: Churchやcorporate bodiesをnational spirit形成の障害として見る発想。","Cautions: Mora本人の原典確認が必要。 Verification needed: yes","Juárez以前の自由主義者が何を古い秩序と見たかを説明できる。","Jose Maria Luis Mora","","Mexico","Catholic Church","National Spirit;corporate survivals;Mexican Liberalism","","","Juárez","Brian R. Hamnett","Moraのcolonial corporate survivals批判に関するHamnettの整理。","Churchやcorporate bodiesをnational spirit形成の障害として見る発想。","Mora本人の原典確認が必要。","yes","CAP_HAMNETT_JUAREZ_0009"
"FACT_HAMNETT_JUAREZ_0141","19世紀メキシコ政治思想には二つの歴史解釈潮流があった","draft","2026-06-20","2026-06-20","fact-card;hamnett;juarez;chapter1;mexican-historiography","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Aims of Mexican Liberalism","printed page 12-13","12-13","/page/12/mode/2up; Page 12 (27/323)","","スクリーンショット 2026-06-13 17.22.56.jpeg","author_interpretation","probable","Hamnettは、19世紀メキシコの歴史家・政治作家に、Spanish EnlightenmentとCadiz Constitutionalismの影響を受けた潮流と、colonial eraをmodern Mexicoの起源と見るHispanic Catholic系潮流があったと整理する。","Hamnettは、19世紀メキシコの歴史家・政治作家に、Spanish EnlightenmentとCadiz Constitutionalismの影響を受けた潮流と、colonial eraをmodern Mexicoの起源と見るHispanic Catholic系潮流があったと整理する。","Source note: Mexican historiography / political writingの二潮流整理。 Japanese note: LiberalとConservativeの対立を歴史解釈の差として整理する。","Cautions: 二分法は整理上のモデル。実際の思想はより複雑。 Verification needed: no","会話や論争で、同じMexicoの過去を正反対に読む構図を作れる。","Jose Maria Luis Mora;Lorenzo de Zavala;Lucas Alaman","","Mexico","","Mexican historiography;Cadiz Constitutionalism;Hispanic Catholic Foundations;Colonial Legacy","","","Juárez","Brian R. Hamnett","Mexican historiography / political writingの二潮流整理。","LiberalとConservativeの対立を歴史解釈の差として整理する。","二分法は整理上のモデル。実際の思想はより複雑。","no","CAP_HAMNETT_JUAREZ_0009"
