"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","section","page","printed_page","archive_page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","type","date","event_summary","source_title","author","creative_use","verification_needed"
"TIME_HAMNETT_JUAREZ_0025","Luis Terrazasは1850年代にJuárez支持へ明確に踏み切るまで時間を要したとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;terrazas;chihuahua","1850s","","approximate_period","Gregorian","historical_fact","probable","Luis Terrazasは1850年代のChihuahua地方政治において、Juárez支持に明確に踏み切るまで時間を要したとされる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","Luis Terrazas;Benito Juárez","","Chihuahua","","regional elites;political loyalty","FACT_HAMNETT_JUAREZ_0067","Creative use: 地方有力者が陣営選択を保留し、条件を見極める政治場面に使える。 Verification needed: yes","timeline","1850s","Luis Terrazasは1850年代のChihuahua地方政治において、Juárez支持に明確に踏み切るまで時間を要したとされる。","Juárez","Brian R. Hamnett","地方有力者が陣営選択を保留し、条件を見極める政治場面に使える。","yes"
"TIME_HAMNETT_JUAREZ_0026","Luis TerrazasはFrench Intervention期にJuárezの保護者となったとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;french-intervention;terrazas","1862","1867","year_range","Gregorian","historical_fact","probable","Luis TerrazasはFrench Intervention期にJuárezの保護者となったとHamnettは説明している。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","Luis Terrazas;Benito Juárez","French Intervention","Chihuahua","","regional elites;juarismo","FACT_HAMNETT_JUAREZ_0067","Creative use: Juárez側の保護や移動に地方有力者が関与する背景として使える。 Verification needed: yes","timeline","1862-1867","Luis TerrazasはFrench Intervention期にJuárezの保護者となったとHamnettは説明している。","Juárez","Brian R. Hamnett","Juárez側の保護や移動に地方有力者が関与する背景として使える。","yes"
"TIME_HAMNETT_JUAREZ_0027","Terrazas familyは1880年代までにChihuahua支配を完成させたとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;terrazas-family;chihuahua","1880s","","decade","Gregorian","author_interpretation","probable","Terrazas familyはChihuahua州内の財産・事業・政治生活への支配を完成させたとHamnettは述べる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","Terrazas family","","Chihuahua","","regional elites;state power","FACT_HAMNETT_JUAREZ_0069","Creative use: Juárez勝利後の地方名望家支配の完成を長期的結果として描ける。 Verification needed: yes","timeline","1880s","Terrazas familyはChihuahua州内の財産・事業・政治生活への支配を完成させたとHamnettは述べる。","Juárez","Brian R. Hamnett","Juárez勝利後の地方名望家支配の完成を長期的結果として描ける。","yes"
"TIME_HAMNETT_JUAREZ_0028","1810年9月、War of Independenceが始まりNew Spainの連関がほどけ始めたとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;war-of-independence","1810-09","","month","Gregorian","historical_fact","probable","War of Independenceが始まり、New Spainを結びつけていた経済的・政治的連関がほどけ始めたとHamnettは説明する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","War of Independence","New Spain;Mexico","","regionalism;political economy","FACT_HAMNETT_JUAREZ_0070","Creative use: 独立戦争開始を、国家誕生だけでなく地域的分解の始点として使える。 Verification needed: yes","timeline","1810-09","War of Independenceが始まり、New Spainを結びつけていた経済的・政治的連関がほどけ始めたとHamnettは説明する。","Juárez","Brian R. Hamnett","独立戦争開始を、国家誕生だけでなく地域的分解の始点として使える。","yes"
"TIME_HAMNETT_JUAREZ_0029","1810年代以降、メキシコ中央政府の分解が進んだとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1810s;central-government","1810s","","decade","Gregorian","author_interpretation","probable","1810年代以降、メキシコでは中央政府の分解が進んだとHamnettは整理する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","War of Independence","Mexico","central government","regionalism;state formation","FACT_HAMNETT_JUAREZ_0071","Creative use: 中央政府の命令・徴税・軍事力が地方で弱まる背景に使える。 Verification needed: no","timeline","1810s","1810年代以降、メキシコでは中央政府の分解が進んだとHamnettは整理する。","Juárez","Brian R. Hamnett","中央政府の命令・徴税・軍事力が地方で弱まる背景に使える。","no"
"TIME_HAMNETT_JUAREZ_0030","1867年、Juárezは国政権力を回復し地域的権力分散を継承した","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1867;central-government","1867","","year","Gregorian","author_interpretation","probable","JuárezはFrench Intervention崩壊後に国政権力を回復し、地域的権力分散という問題を継承した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","Benito Juárez","French Intervention","Mexico","central government","regional diffusion of power;central government reconstruction","FACT_HAMNETT_JUAREZ_0072;FACT_HAMNETT_JUAREZ_0073","Creative use: 1867年の勝利後に中央政府再建の現実問題が始まる構図に使える。 Verification needed: no","timeline","1867","JuárezはFrench Intervention崩壊後に国政権力を回復し、地域的権力分散という問題を継承した。","Juárez","Brian R. Hamnett","1867年の勝利後に中央政府再建の現実問題が始まる構図に使える。","no"
"TIME_HAMNETT_JUAREZ_0031","1810-1867年、政治生活の地域化はpersonalismを強めたとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1810-1867;personalism","1810","1867","year_range","Gregorian","author_interpretation","probable","1810年から1867年までの政治生活の地域化は、personalismの傾向を強めたとHamnettは説明する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","","Mexico","","personalism;regionalism;clientelism","FACT_HAMNETT_JUAREZ_0076;FACT_HAMNETT_JUAREZ_0077","Creative use: 長期的な地域化が人的庇護政治を強める背景として使える。 Verification needed: no","timeline","1810-1867","1810年から1867年までの政治生活の地域化は、personalismの傾向を強めたとHamnettは説明する。","Juárez","Brian R. Hamnett","長期的な地域化が人的庇護政治を強める背景として使える。","no"
"TIME_HAMNETT_JUAREZ_0032","1821年、植民地権力崩壊が地方の中央政治参加要求を刺激したとされる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1821;regionalism","1821","","year","Gregorian","author_interpretation","probable","Spanish colonial powerの崩壊が、地方から中央での政治的発言権を求める圧力を刺激したとHamnettは説明する。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","Mexican independence from Spain","Mexico","","regionalism;political representation","FACT_HAMNETT_JUAREZ_0084","Creative use: 独立後の地方代表要求が中央政治に流れ込む場面に使える。 Verification needed: yes","timeline","1821","Spanish colonial powerの崩壊が、地方から中央での政治的発言権を求める圧力を刺激したとHamnettは説明する。","Juárez","Brian R. Hamnett","独立後の地方代表要求が中央政治に流れ込む場面に使える。","yes"
"TIME_HAMNETT_JUAREZ_0033","1823年、第一帝政失敗と国軍解体が複数地域の自由・主権州宣言への道を開いた","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1823;first-monarchy","1823","","year","Gregorian","historical_fact","probable","Mexico’s first monarchyの失敗と国軍解体により、Jalisco、Zacatecas、Puebla、Oaxaca、Yucatánなどが自由・主権州を宣言する道が開かれた。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","Collapse of First Mexican Monarchy","Jalisco;Zacatecas;Puebla;Oaxaca;Yucatán","national army","regionalism;state sovereignty","FACT_HAMNETT_JUAREZ_0085","Creative use: 中央権力崩壊後の複数州の政治的主体化として使える。 Verification needed: yes","timeline","1823","Mexico’s first monarchyの失敗と国軍解体により、Jalisco、Zacatecas、Puebla、Oaxaca、Yucatánなどが自由・主権州を宣言する道が開かれた。","Juárez","Brian R. Hamnett","中央権力崩壊後の複数州の政治的主体化として使える。","yes"
"TIME_HAMNETT_JUAREZ_0034","1824年、メキシコで19世紀最初の連邦憲法が成立した","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1824;federal-constitution","1824","","year","Gregorian","historical_fact","probable","メキシコで19世紀最初の連邦憲法が成立した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","Constitution of 1824","Mexico","","Mexican federalism;constitutional government","FACT_HAMNETT_JUAREZ_0080","Creative use: 連邦主義制度化の起点として使える。 Verification needed: yes","timeline","1824","メキシコで19世紀最初の連邦憲法が成立した。","Juárez","Brian R. Hamnett","連邦主義制度化の起点として使える。","yes"
"TIME_HAMNETT_JUAREZ_0035","1857年、メキシコで19世紀第二の連邦憲法が成立した","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1857;federal-constitution","1857","","year","Gregorian","historical_fact","probable","メキシコで19世紀第二の連邦憲法が成立した。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","Constitution of 1857","Mexico","","Mexican federalism;Liberal Reform","FACT_HAMNETT_JUAREZ_0080","Creative use: 改革期の連邦主義再編の背景として使える。 Verification needed: yes","timeline","1857","メキシコで19世紀第二の連邦憲法が成立した。","Juárez","Brian R. Hamnett","改革期の連邦主義再編の背景として使える。","yes"
"TIME_HAMNETT_JUAREZ_0036","1835-1836年、TexasとYucatánは例外的分離主義事例として扱われる","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1835-1836;texas;yucatan","1835","1836","year_range","Gregorian","historical_fact","uncertain","TexasとYucatánの事例は、地方が例外的に分離主義的経路を選んだ例として扱われる。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","Texas and Yucatán separatist cases","Texas;Yucatán","","regionalism;separatism","FACT_HAMNETT_JUAREZ_0087","Creative use: 地域主義と分離主義の差を示す比較例として使える。 Verification needed: yes","timeline","1835-1836","TexasとYucatánの事例は、地方が例外的に分離主義的経路を選んだ例として扱われる。","Juárez","Brian R. Hamnett","地域主義と分離主義の差を示す比較例として使える。","yes"
"TIME_HAMNETT_JUAREZ_0037","1917年、Hamnettは第三の連邦憲法として1917年憲法を挙げている","draft","2026-06-14","2026-06-14","timeline;hamnett;juarez;chapter1;1917;federal-constitution","1917","","year","Gregorian","historical_fact","probable","Hamnettは、1824年・1857年に続く第三の連邦憲法として1917年憲法を挙げている。","SRC_HAMNETT_1994_JUAREZ","Chapter 1","The Geo-Politics of Mexico","printed page 6-7","6-7","/page/6/mode/2up, Page 6 (21/323)","","スクリーンショット 2026-06-13 17.22.48.jpeg","","Constitution of 1917","Mexico","","Mexican federalism;constitutional government","FACT_HAMNETT_JUAREZ_0080","Creative use: メキシコ連邦主義の長期的継続性を示す背景に使える。 Verification needed: yes","timeline","1917","Hamnettは、1824年・1857年に続く第三の連邦憲法として1917年憲法を挙げている。","Juárez","Brian R. Hamnett","メキシコ連邦主義の長期的継続性を示す背景に使える。","yes"
