"id","title","status","created","updated","tags","date_start","date_end","date_precision","calendar","evidence_category","confidence","summary","source_id","chapter","page","kindle_location","screenshot_file","people","events","places","organizations","themes","related_fact_cards","notes","type","date","event_summary","source_title","creative_use","verification_needed"
"TIME_MEXEMP_0423","1874年8月、BazaineはÎle Sainte-Margueriteから脱獄した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1874-08","","month","Gregorian","historical_fact","probable","BazaineはÎle Sainte-Margueriteから脱獄し、Josefa Peñaの助けで船に乗って逃れたとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Achille Bazaine; Josefa Peña","Bazaine escape","Île Sainte-Marguerite; Madrid","French republic","escape; downfall","FACT_MEXEMP_2564","Creative use: 失脚軍人の逃亡劇。 Verification needed: yes.","timeline","1874-08","BazaineはÎle Sainte-Margueriteから脱獄し、Josefa Peñaの助けで船に乗って逃れたとされる。","The Last Emperor of Mexico: A Disaster in the New World","失脚軍人の逃亡劇。","yes"
"TIME_MEXEMP_0424","1888年、Bazaineは死去した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1888","","year","Gregorian","historical_fact","probable","Bazaineは晩年を貧困と孤独のうちに過ごし、1888年に死去した。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Achille Bazaine","Bazaine death","Madrid","French press","exile; public memory","FACT_MEXEMP_2565;FACT_MEXEMP_2566","Creative use: 帝国軍人の零落として使える。 Verification needed: yes.","timeline","1888","Bazaineは晩年を貧困と孤独のうちに過ごし、1888年に死去した。","The Last Emperor of Mexico: A Disaster in the New World","帝国軍人の零落として使える。","yes"
"TIME_MEXEMP_0425","1867年6月21日、Márquezが保持したMexico CityをDíazが取った","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867-06-21","","day","Gregorian","historical_fact","probable","Leonardo MárquezはMaximilian処刑の二日後までMexico Cityを保持し、その後Porfirio Díazが首都を取ったとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Leonardo Márquez; Maximilian; Porfirio Díaz","Fall of Mexico City","Mexico City","Mexican Empire; Republic of Mexico","imperial collapse","FACT_MEXEMP_2567;FACT_MEXEMP_2569","Creative use: 皇帝死後の首都終幕に使える。 Verification needed: yes.","timeline","1867-06-21","Leonardo MárquezはMaximilian処刑の二日後までMexico Cityを保持し、その後Porfirio Díazが首都を取ったとされる。","The Last Emperor of Mexico: A Disaster in the New World","皇帝死後の首都終幕に使える。","yes"
"TIME_MEXEMP_0426","1913年、Leonardo MárquezはHavanaで死去した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1913","","year","Gregorian","historical_fact","probable","Leonardo MárquezはHavanaで93歳で死去したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Leonardo Márquez","imperial exile","Havana","Mexican Empire","exile; survival","FACT_MEXEMP_2571","Creative use: 処刑を免れた残党の長い余生。 Verification needed: yes.","timeline","1913","Leonardo MárquezはHavanaで93歳で死去したとされる。","The Last Emperor of Mexico: A Disaster in the New World","処刑を免れた残党の長い余生。","yes"
"TIME_MEXEMP_0427","1867年、José María Gutiérrez de EstradaはParisで死去した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867","","year","Gregorian","historical_fact","probable","José María Gutiérrez de EstradaはParisで死去したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","José María Gutiérrez de Estrada","imperial aftermath","Paris","Mexican Empire","exile; grief","FACT_MEXEMP_2572","Creative use: 帝政構想者の終幕に使える。 Verification needed: yes.","timeline","1867","José María Gutiérrez de EstradaはParisで死去したとされる。","The Last Emperor of Mexico: A Disaster in the New World","帝政構想者の終幕に使える。","yes"
"TIME_MEXEMP_0428","1869年推定、Juan Nepomuceno AlmonteはFranceで死去した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1869","","inferred_year","Gregorian","historical_fact","probable","Juan Nepomuceno AlmonteはGutiérrez de Estradaの死の二年後にFranceで死去したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Juan Nepomuceno Almonte","imperial aftermath","France","Mexican Empire","exile; death","FACT_MEXEMP_2573","Creative use: 帝政関係者の相次ぐ死として使える。 Verification needed: yes.","timeline","1869","Juan Nepomuceno AlmonteはGutiérrez de Estradaの死の二年後にFranceで死去したとされる。","The Last Emperor of Mexico: A Disaster in the New World","帝政関係者の相次ぐ死として使える。","yes"
"TIME_MEXEMP_0429","1896年、José Manuel Hidalgo y Esnaurrízarは死去した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1896","","year","Gregorian","historical_fact","probable","José Manuel Hidalgo y Esnaurrízarは小説家となった後、1896年に死去したとされる。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","José Manuel Hidalgo y Esnaurrízar","imperial aftermath","Mexico; France","Mexican Empire","fiction; monarchy","FACT_MEXEMP_2574","Creative use: 君主制構想と文学の皮肉。 Verification needed: yes.","timeline","1896","José Manuel Hidalgo y Esnaurrízarは小説家となった後、1896年に死去したとされる。","The Last Emperor of Mexico: A Disaster in the New World","君主制構想と文学の皮肉。","yes"
"TIME_MEXEMP_0430","1867年、Benito Juárezは大統領に選ばれた","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1867","","year","Gregorian","historical_fact","probable","Benito Juárezは帝政崩壊後、1867年に大統領に選ばれた。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Benito Juárez","Juárez presidency","Mexico","Republic of Mexico; Juárez government","republican victory","FACT_MEXEMP_2582","Creative use: 共和派勝利後の再出発。 Verification needed: yes.","timeline","1867","Benito Juárezは帝政崩壊後、1867年に大統領に選ばれた。","The Last Emperor of Mexico: A Disaster in the New World","共和派勝利後の再出発。","yes"
"TIME_MEXEMP_0431","1871年、Juárezは再選を求めDíazから批判された","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1871","","year","Gregorian","historical_fact","probable","Juárezは1871年に再選を求め、Porfirio Díazから権力集中を批判された。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Benito Juárez; Porfirio Díaz","1871 election","Mexico","Republic of Mexico","succession crisis","FACT_MEXEMP_2582;FACT_MEXEMP_2583","Creative use: 勝者側内部の分裂に使える。 Verification needed: yes.","timeline","1871","Juárezは1871年に再選を求め、Porfirio Díazから権力集中を批判された。","The Last Emperor of Mexico: A Disaster in the New World","勝者側内部の分裂に使える。","yes"
"TIME_MEXEMP_0432","1872年推定、Juárezは死去しLerdo de Tejadaに分裂したMexicoを残した","draft","2026-06-13","2026-06-13","timeline;chapter2;mexemp;shawcross","1872","","inferred_year","Gregorian","historical_fact","probable","Juárezは1871年選挙の翌年に死去し、Sebastián Lerdo de Tejadaに分裂したMexicoを残した。","SRC_SHAWCROSS_2022_LAST_EMPEROR_MEXICO","Chapter 2 THE ARCHDUKE AND THE PRINCESS / EPILOGUE","Kindle PC 316/400","No.4474/7062","スクリーンショット 2026-05-31 13.11.58.png","Benito Juárez; Sebastián Lerdo de Tejada","Juárez death; Lerdo succession","Mexico","Republic of Mexico","succession; division","FACT_MEXEMP_2582","Creative use: 戦後政治の不安定化。 Verification needed: yes.","timeline","1872","Juárezは1871年選挙の翌年に死去し、Sebastián Lerdo de Tejadaに分裂したMexicoを残した。","The Last Emperor of Mexico: A Disaster in the New World","戦後政治の不安定化。","yes"
